algorithm,scenario_index,seed,found,final_goal_reached,initial_path_found,replanning_count,waiting_steps,collision_count,agent_push_count,obstacle_blocked_count,travelled_steps,total_path_cost,total_execution_time_ms,wall_clock_s,obstacle_count,prediction_steps,path_block_lookahead,start_row,start_col,goal_row,goal_col,optimal_length
A*,0,42,True,True,True,0,0,0,0,0,96,100.14213562373094,4.306300077587366,0.07272299996111542,4,0,20,434,27,424,123,100.14213562
D* Lite,0,42,True,True,True,0,0,0,0,0,96,100.14213562373092,90.20780003629625,0.8130116999382153,4,0,20,434,27,424,123,100.14213562
A*,1,43,True,True,True,0,0,0,0,0,86,100.08326112068515,2.77520006056875,0.07227060000877827,4,0,20,145,289,111,203,100.08326111
D* Lite,1,43,True,True,True,0,0,0,0,0,86,100.08326112068514,47.005799948237836,0.8875394000206143,4,0,20,145,289,111,203,100.08326111
A*,2,44,True,True,True,12,0,1,1,0,85,104.88225099390847,132.2910999879241,0.18716800003312528,4,0,20,238,306,191,370,100.3969696
D* Lite,2,44,True,True,True,13,12,0,0,0,87,102.74011537017752,112.86360013764352,0.7516718000406399,4,0,20,238,306,191,370,100.3969696
A*,3,45,True,True,True,7,0,2,1,1,94,107.66904755831206,9.283700142987072,0.07149480003863573,4,0,20,464,144,428,233,103.91168823
D* Lite,3,45,True,True,True,3,0,0,0,0,89,103.91168824543135,90.04150005057454,0.7277705000014976,4,0,20,464,144,428,233,103.91168823
A*,4,46,True,True,True,1,0,0,0,0,78,102.02438661763944,10.521100019104779,0.06322230002842844,4,0,20,444,303,372,367,102.61017303
D* Lite,4,46,True,True,True,0,0,0,0,0,78,102.02438661763942,78.40070000384003,0.6091397000709549,4,0,20,444,303,372,367,102.61017303
A*,5,47,True,True,True,19,0,3,3,0,114,131.811183182043,109.63830014225096,0.201509999926202,4,0,20,117,409,210,399,102.94112549
D* Lite,5,47,True,True,True,43,24,3,3,0,118,133.32590180780448,989.5852003246546,2.0659945999505,4,0,20,117,409,210,399,102.94112549
A*,6,48,True,True,True,0,0,0,0,0,92,102.7695526217004,3.0510000651702285,0.057247300050221384,4,0,20,454,186,428,94,102.76955261
D* Lite,6,48,True,True,True,0,0,0,0,0,92,102.7695526217004,49.5417999336496,0.6113656000234187,4,0,20,454,186,428,94,102.76955261
A*,7,49,True,True,True,63,0,3,3,0,161,173.84062043356596,99.14590045809746,0.20217149995733052,4,0,20,448,105,355,82,102.52691193
D* Lite,7,49,True,True,True,5,0,1,1,0,96,106.76955262170043,100.71250004693866,0.70153990003746,4,0,20,448,105,355,82,102.52691193
A*,8,50,True,True,True,0,0,0,0,0,89,103.49747468305826,14.037200016900897,0.07052459998521954,4,0,20,468,146,379,167,103.49747467
D* Lite,8,50,True,True,True,6,0,2,2,0,107,127.29646455628155,407.74659998714924,1.1792254999745637,4,0,20,468,146,379,167,103.49747467
A*,9,51,True,True,True,0,0,0,0,0,97,101.14213562373092,6.484700017608702,0.08657749998383224,4,0,20,446,157,444,60,101.14213562
D* Lite,9,51,True,True,True,11,0,1,1,0,101,104.31370849898474,151.714300038293,0.9524153000675142,4,0,20,446,157,444,60,101.14213562
A*,10,52,True,False,True,41,39,10,9,1,109,133.85281374238562,22202.9515003087,22.48471300001256,4,0,20,207,341,238,429,107.46803741
D* Lite,10,52,False,False,False,0,0,0,0,0,0,0.0,0.011699972674250603,0.0002455000067129731,4,0,20,207,341,238,429,107.46803741
A*,11,53,True,True,True,10,0,0,0,0,100,114.49747468305823,35.639400011859834,0.09873389999847859,4,0,20,462,182,373,142,105.56854248
D* Lite,11,53,True,True,True,5,3,0,0,0,92,107.32590180780441,133.100799866952,0.7413575999671593,4,0,20,462,182,373,142,105.56854248
