algorithm,scenario_index,optimal_length,found,path_length,path_cost,visited_nodes,execution_time_ms,preprocessing_time_ms,abstract_nodes_visited,abstract_path_edge_count,refined_path_length,refined_path_cost,scanned_nodes,local_path_cache_hits,local_path_cache_misses,cache_hit_ratio,abstract_search_time_ms,refinement_time_ms,query_time_ms
A*,0,100.14213562,True,96,100.14213562373094,413,4.256199987139553,,,,,,,,,,,,
A*,1,100.08326111,True,86,100.08326112068515,272,2.891100011765957,,,,,,,,,,,,
A*,2,100.3969696,True,82,99.811183182043,1213,12.436199991498142,,,,,,,,,,,,
A*,3,103.91168823,True,89,103.91168824543132,261,2.823700022418052,,,,,,,,,,,,
A*,4,102.61017303,True,78,102.02438661763942,770,8.062999986577779,,,,,,,,,,,,
A*,5,102.94112549,True,93,102.94112549695421,992,10.298500012140721,,,,,,,,,,,,
A*,6,102.76955261,True,92,102.7695526217004,279,2.95140000525862,,,,,,,,,,,,
A*,7,102.52691193,True,93,102.52691193458115,347,3.5473000025376678,,,,,,,,,,,,
A*,8,103.49747467,True,89,103.49747468305826,1352,13.638400007039309,,,,,,,,,,,,
A*,9,101.14213562,True,97,101.14213562373092,677,7.468299998436123,,,,,,,,,,,,
A*,10,107.46803741,True,88,107.46803743153536,813,8.150000008754432,,,,,,,,,,,,
A*,11,105.56854248,True,89,105.56854249492369,582,6.312899990007281,,,,,,,,,,,,
A*,12,105.85281372,True,80,105.26702730475867,280,3.03129997337237,,,,,,,,,,,,
A*,13,106.25483398,True,93,106.25483399593895,1988,21.300300024449825,,,,,,,,,,,,
A*,14,107.68124084,True,82,107.68124086713176,458,4.629400034900755,,,,,,,,,,,,
A*,15,106.53910522,True,84,105.95331880577392,325,3.755600017029792,,,,,,,,,,,,
A*,16,106.19595947,True,82,105.6101730552663,2436,23.180700023658574,,,,,,,,,,,,
A*,17,107.41421356,True,107,107.41421356237309,210,2.0874000038020313,,,,,,,,,,,,
A*,18,104.07106781,True,102,104.07106781186546,500,4.567400028463453,,,,,,,,,,,,
A*,19,104.29646454,True,84,104.29646455628159,519,4.643000022042543,,,,,,,,,,,,
A*,20,108.43860016,True,83,107.85281374238559,705,6.4762000110931695,,,,,,,,,,,,
A*,21,108.24264069,True,107,108.24264068711928,206,2.0460999803617597,,,,,,,,,,,,
A*,22,111.91168823,True,96,111.32590180780441,827,8.35329998517409,,,,,,,,,,,,
A*,23,108.09545441,True,81,107.50966799187795,327,3.0539000290445983,,,,,,,,,,,,
A*,24,109.12489166,True,88,109.12489168102772,964,8.899500011466444,,,,,,,,,,,,
A*,25,108.46803741,True,88,107.88225099390847,776,6.921700027305633,,,,,,,,,,,,
A*,26,109.55634918,True,105,109.55634918610401,275,2.7108999784104526,,,,,,,,,,,,
A*,27,108.08326111,True,92,106.91168824543138,1964,18.256800016388297,,,,,,,,,,,,
A*,28,110.81118317,True,93,110.81118318204298,1493,13.723599957302213,,,,,,,,,,,,
A*,29,109.04163055,True,102,109.04163056034258,759,6.973100011236966,,,,,,,,,,,,
A*,30,112.4091629,True,83,112.40916292848962,456,4.262099973857403,,,,,,,,,,,,
A*,31,115.74011536,True,100,115.7401153701775,270,2.6071000029332936,,,,,,,,,,,,
A*,32,112.05382385,True,92,111.46803743153535,1794,17.351899994537234,,,,,,,,,,,,
A*,33,112.43860016,True,88,112.43860018001246,319,3.0911999638192356,,,,,,,,,,,,
A*,34,115.25483398,True,101,114.66904755831206,2248,20.220200007315725,,,,,,,,,,,,
A*,35,115.32590179,True,100,115.32590180780443,343,3.2091999892145395,,,,,,,,,,,,
A*,36,112.91168823,True,98,112.91168824543134,325,3.944900003261864,,,,,,,,,,,,
A*,37,112.6984848,True,103,112.11269837220803,1248,10.899599990807474,,,,,,,,,,,,
A*,38,114.49747467,True,100,114.49747468305826,476,4.414499970152974,,,,,,,,,,,,
A*,39,112.11269836,True,103,112.11269837220803,346,3.1467999797314405,,,,,,,,,,,,
A*,40,119.50966797,True,90,117.75230867899724,634,5.771600001025945,,,,,,,,,,,,
A*,41,119.48023071,True,86,118.30865786510127,430,4.244599957019091,,,,,,,,,,,,
A*,42,116.43860016,True,91,115.85281374238559,538,4.891599994152784,,,,,,,,,,,,
A*,43,119.35533905,True,108,118.76955262170041,2087,18.38810002664104,,,,,,,,,,,,
A*,44,116.49747467,True,102,116.49747468305824,367,3.327100013848394,,,,,,,,,,,,
A*,45,118.81118317,True,100,118.22539674441609,1736,15.674100024625659,,,,,,,,,,,,
A*,46,119.25483398,True,106,119.25483399593895,1888,18.031799991149455,,,,,,,,,,,,
A*,47,116.46803741,True,96,115.88225099390847,600,5.3724999888800085,,,,,,,,,,,,
A*,48,118.68124084,True,92,118.0954544295049,1534,13.997199945151806,,,,,,,,,,,,
A*,49,118.28427124,True,110,118.28427124746185,1136,10.162100021261722,,,,,,,,,,,,
A*,50,122.12489166,True,101,122.1248916810277,271,3.310800006147474,,,,,,,,,,,,
A*,51,122.50966797,True,96,122.50966799187792,365,3.431799996178597,,,,,,,,,,,,
A*,52,122.66904755,True,109,122.66904755831204,1545,13.860800012480468,,,,,,,,,,,,
A*,53,120.22539673,True,102,120.22539674441606,317,2.9784999787807465,,,,,,,,,,,,
A*,54,121.32590179,True,105,120.7401153701775,2235,21.147600025869906,,,,,,,,,,,,
A*,55,123.3969696,True,106,123.39696961966987,360,3.547100001014769,,,,,,,,,,,,
A*,56,123.96551208,True,88,122.79393923933982,1029,9.132200037129223,,,,,,,,,,,,
A*,57,123.88225098,True,102,122.71067811865463,1625,14.366600022185594,,,,,,,,,,,,
A*,58,121.52691193,True,112,121.52691193458112,222,2.1436000242829323,,,,,,,,,,,,
A*,59,123.3969696,True,105,122.81118318204302,498,4.527299955952913,,,,,,,,,,,,
A*,60,127.78174591,True,104,127.1959594928932,1116,10.573200008366257,,,,,,,,,,,,
