agent_count,strategy,instance_count,mean_soc_diff_vs_spf,median_soc_diff_vs_spf,better_vs_spf,equal_vs_spf,worse_vs_spf,catalogue
5,CDF-H,9,0,0,0,9,0,primary
5,CDF-L,9,-0.2222222222222222,0,1,8,0,primary
5,SPF+CD,9,0,0,0,9,0,primary
10,CDF-H,9,36.111111111111114,0,0,6,3,primary
10,CDF-L,9,-0.2222222222222222,0,1,8,0,primary
10,SPF+CD,9,0,0,0,9,0,primary
20,CDF-H,9,46.111111111111114,0,0,8,1,primary
20,CDF-L,9,33.77777777777778,0,0,8,1,primary
20,SPF+CD,9,0,0,0,9,0,primary
5,CDF-H,9,-0.2222222222222222,0,1,8,0,held_out
5,CDF-L,9,0,0,0,9,0,held_out
5,SPF+CD,9,0,0,0,9,0,held_out
10,CDF-H,9,0,0,0,9,0,held_out
10,CDF-L,9,29.333333333333332,0,0,8,1,held_out
10,SPF+CD,9,0,0,0,9,0,held_out
20,CDF-H,9,0,0,0,9,0,held_out
20,CDF-L,9,0.2222222222222222,0,0,8,1,held_out
20,SPF+CD,9,0,0,0,9,0,held_out
