interaction_level,strategy,instance_count,mean_soc,median_soc,mean_soc_diff_vs_spf,median_soc_diff_vs_spf,better_vs_spf,equal_vs_spf,worse_vs_spf,catalogue,cdf_h_vs_cdf_l_differing_instances,mapf7_any_strategy_differing_instances
low,CDF-H,9,2920.222222222222,2400,0,0,0,9,0,primary,,
low,CDF-L,9,2920.222222222222,2400,0,0,0,9,0,primary,,
low,SPF+CD,9,2920.222222222222,2400,0,0,0,9,0,primary,,
low,SPF,9,2920.222222222222,2400,0,0,0,9,0,primary,,
low,_stratum_meta,9,,,,,,,,primary,0,0
medium,CDF-H,9,3055,2567,0,0,0,9,0,primary,,
medium,CDF-L,9,3055,2567,0,0,0,9,0,primary,,
medium,SPF+CD,9,3055,2567,0,0,0,9,0,primary,,
medium,SPF,9,3055,2567,0,0,0,9,0,primary,,
medium,_stratum_meta,9,,,,,,,,primary,0,0
high,CDF-H,9,3187.777777777778,3181,82.22222222222223,0,0,5,4,primary,,
high,CDF-L,9,3138.8888888888887,2962,33.333333333333336,0,2,6,1,primary,,
high,SPF+CD,9,3105.5555555555557,2962,0,0,0,9,0,primary,,
high,SPF,9,3105.5555555555557,2962,0,0,0,9,0,primary,,
high,_stratum_meta,9,,,,,,,,primary,5,5
low,CDF-H,9,3383.777777777778,2831,0,0,0,9,0,held_out,,
low,CDF-L,9,3383.777777777778,2831,0,0,0,9,0,held_out,,
low,SPF+CD,9,3383.777777777778,2831,0,0,0,9,0,held_out,,
low,SPF,9,3383.777777777778,2831,0,0,0,9,0,held_out,,
low,_stratum_meta,9,,,,,,,,held_out,0,0
medium,CDF-H,9,2999.222222222222,2925,-0.2222222222222222,0,1,8,0,held_out,,
medium,CDF-L,9,2999.6666666666665,2925,0.2222222222222222,0,0,8,1,held_out,,
medium,SPF+CD,9,2999.4444444444443,2925,0,0,0,9,0,held_out,,
medium,SPF,9,2999.4444444444443,2925,0,0,0,9,0,held_out,,
medium,_stratum_meta,9,,,,,,,,held_out,2,2
high,CDF-H,9,3164.1111111111113,2898,0,0,0,9,0,held_out,,
high,CDF-L,9,3193.4444444444443,2898,29.333333333333332,0,0,8,1,held_out,,
high,SPF+CD,9,3164.1111111111113,2898,0,0,0,9,0,held_out,,
high,SPF,9,3164.1111111111113,2898,0,0,0,9,0,held_out,,
high,_stratum_meta,9,,,,,,,,held_out,1,1
