catalogue,instance_id,agent_count,interaction_level,spf_soc,spf_cd_soc,soc_equal,spf_makespan,spf_cd_makespan,makespan_equal,same_priority_order,spf_agent_order,spf_cd_original_index_order,instance_count,identical_soc,identical_makespan,identical_ordering,differing_ordering
primary,AR0204SR_n05_low_000,5,low,1378,1378,True,379,379,True,True,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]",,,,,
primary,AR0204SR_n05_low_001,5,low,868,868,True,271,271,True,True,"[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]",,,,,
primary,AR0204SR_n05_low_002,5,low,878,878,True,320,320,True,True,"[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]",,,,,
primary,AR0204SR_n05_medium_000,5,medium,1299,1299,True,398,398,True,True,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]",,,,,
primary,AR0204SR_n05_medium_001,5,medium,1291,1291,True,333,333,True,True,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]",,,,,
primary,AR0204SR_n05_medium_002,5,medium,1396,1396,True,490,490,True,True,"[3, 0, 4, 2, 1]","[3, 0, 4, 2, 1]",,,,,
primary,AR0204SR_n05_high_000,5,high,1263,1263,True,352,352,True,True,"[0, 2, 1, 3, 4]","[0, 2, 1, 3, 4]",,,,,
primary,AR0204SR_n05_high_001,5,high,1664,1664,True,458,458,True,True,"[0, 4, 1, 3, 2]","[0, 4, 1, 3, 2]",,,,,
primary,AR0204SR_n05_high_002,5,high,1670,1670,True,408,408,True,True,"[1, 4, 0, 2, 3]","[1, 4, 0, 2, 3]",,,,,
primary,AR0204SR_n10_low_000,10,low,2594,2594,True,495,495,True,True,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]",,,,,
primary,AR0204SR_n10_low_001,10,low,2400,2400,True,455,455,True,True,"[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]",,,,,
primary,AR0204SR_n10_low_002,10,low,1862,1862,True,343,343,True,True,"[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]",,,,,
primary,AR0204SR_n10_medium_000,10,medium,2797,2797,True,497,497,True,True,"[8, 2, 9, 7, 5, 4, 3, 6, 0, 1]","[8, 2, 9, 7, 5, 4, 3, 6, 0, 1]",,,,,
primary,AR0204SR_n10_medium_001,10,medium,2567,2567,True,505,505,True,True,"[1, 7, 5, 3, 2, 0, 6, 9, 4, 8]","[1, 7, 5, 3, 2, 0, 6, 9, 4, 8]",,,,,
primary,AR0204SR_n10_medium_002,10,medium,1960,1960,True,441,441,True,True,"[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]","[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]",,,,,
primary,AR0204SR_n10_high_000,10,high,2487,2487,True,511,511,True,True,"[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]","[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]",,,,,
primary,AR0204SR_n10_high_001,10,high,2962,2962,True,512,512,True,True,"[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]","[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]",,,,,
primary,AR0204SR_n10_high_002,10,high,3415,3415,True,481,481,True,True,"[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]","[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]",,,,,
primary,AR0204SR_n20_low_000,20,low,5607,5607,True,511,511,True,True,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]",,,,,
primary,AR0204SR_n20_low_001,20,low,5969,5969,True,511,511,True,True,"[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]","[19, 10, 15, 8, 0, 18, 1, 14, 5, 9, 13, 17, 3, 16, 6, 12, 4, 11, 7, 2]",,,,,
primary,AR0204SR_n20_low_002,20,low,4726,4726,True,489,489,True,True,"[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]","[10, 15, 2, 8, 16, 18, 4, 11, 9, 1, 0, 19, 3, 13, 14, 7, 17, 5, 6, 12]",,,,,
primary,AR0204SR_n20_medium_000,20,medium,5192,5192,True,498,498,True,True,"[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]","[14, 1, 7, 11, 5, 4, 19, 10, 6, 2, 8, 12, 3, 0, 9, 17, 16, 15, 13, 18]",,,,,
primary,AR0204SR_n20_medium_001,20,medium,5428,5428,True,509,509,True,True,"[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]","[19, 11, 8, 18, 4, 9, 16, 10, 13, 17, 0, 1, 14, 12, 3, 6, 5, 7, 15, 2]",,,,,
