map_name,instance_id,agent_count,interaction_level,catalogue_seed,manifest_sha256,spf_soc,cdf_h_soc,cdf_l_soc,spf_cd_soc,spf_makespan,cdf_h_makespan,cdf_l_makespan,spf_cd_makespan,soc_range,makespan_range,mapf7_three_strategy_soc_range,soc_sensitive,makespan_sensitive,mapf7_three_strategy_soc_sensitive,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,spf_agent_order,cdf_h_original_index_order,cdf_l_original_index_order,spf_cd_original_index_order,spf_cd_same_order,cdf_h_same_order_as_spf,cdf_l_same_order_as_spf,spf_cd_soc_equal,spf_cd_makespan_equal,cdf_h_order_diff_no_soc_diff,cdf_l_order_diff_no_soc_diff
AR0400SR,AR0400SR_n05_low_000,5,low,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,966,966,966,966,313,313,313,313,0,0,0,False,False,False,0,0,0,0,5,1,0.0,"[2, 1, 3, 0, 4]","[2, 1, 3, 0, 4]","[2, 1, 3, 0, 4]","[2, 1, 3, 0, 4]",True,True,True,True,True,False,False
AR0400SR,AR0400SR_n05_low_001,5,low,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1560,1560,1560,1560,502,502,502,502,0,0,0,False,False,False,0,0,0,0,5,1,0.0,"[2, 4, 0, 1, 3]","[2, 4, 0, 1, 3]","[2, 4, 0, 1, 3]","[2, 4, 0, 1, 3]",True,True,True,True,True,False,False
AR0400SR,AR0400SR_n05_low_002,5,low,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1993,1993,1993,1993,473,473,473,473,0,0,0,False,False,False,0,0,0,0,5,1,0.0,"[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]",True,True,True,True,True,False,False
AR0400SR,AR0400SR_n05_medium_000,5,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1203,1203,1203,1203,374,374,374,374,0,0,0,False,False,False,1,1,1,0.4,3,2,0.4898979485566356,"[4, 0, 3, 2, 1]","[3, 1, 4, 0, 2]","[4, 0, 2, 3, 1]","[4, 0, 3, 2, 1]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n05_medium_001,5,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1675,1675,1675,1675,504,504,504,504,0,0,0,False,False,False,1,1,1,0.4,3,2,0.4898979485566356,"[3, 0, 2, 1, 4]","[1, 4, 3, 0, 2]","[3, 0, 2, 1, 4]","[3, 0, 2, 1, 4]",True,False,True,True,True,True,False
AR0400SR,AR0400SR_n05_medium_002,5,medium,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1320,1320,1320,1320,503,503,503,503,0,0,0,False,False,False,1,1,1,0.4,3,2,0.4898979485566356,"[1, 4, 3, 2, 0]","[2, 0, 1, 4, 3]","[1, 4, 3, 2, 0]","[1, 4, 3, 2, 0]",True,False,True,True,True,True,False
AR0400SR,AR0400SR_n05_high_000,5,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1742,1742,1741,1742,413,413,411,413,1,2,1,True,True,True,3,3,2,1.2,0,2,0.4,"[3, 0, 2, 1, 4]","[2, 3, 0, 1, 4]","[3, 0, 1, 4, 2]","[3, 0, 2, 1, 4]",True,False,False,True,True,True,False
AR0400SR,AR0400SR_n05_high_001,5,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,544,544,544,544,166,166,166,166,0,0,0,False,False,False,51,1,1,0.4,3,2,0.4898979485566356,"[4, 3, 1, 2, 0]","[3, 1, 4, 2, 0]","[4, 2, 0, 3, 1]","[4, 3, 1, 2, 0]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n05_high_002,5,high,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,1046,1046,1046,1046,325,325,325,325,0,0,0,False,False,False,112,1,1,0.4,3,2,0.4898979485566356,"[3, 1, 0, 4, 2]","[0, 2, 3, 1, 4]","[3, 1, 4, 0, 2]","[3, 1, 0, 4, 2]",True,False,False,True,True,True,True
AR0400SR,AR0400SR_n10_low_000,10,low,2028,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,2032,2032,2032,2032,497,497,497,497,0,0,0,False,False,False,0,0,0,0,10,1,0.0,"[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]",True,True,True,True,True,False,False
