catalogue,comparison,left_strategy,right_strategy,common_success_count,mean_soc_diff,median_soc_diff,min_soc_diff,max_soc_diff,left_better_count,equal_count,right_better_count,soc_diff_definition,max_abs_soc_diff
AR0400SR,cdf_h_vs_spf,CDF-H,SPF,27,0,0,0,0,0,27,0,left_soc - right_soc (negative => left better),0
AR0400SR,cdf_l_vs_spf,CDF-L,SPF,27,14.62962962962963,0,-1,396,1,25,1,left_soc - right_soc (negative => left better),396
AR0400SR,cdf_h_vs_cdf_l,CDF-H,CDF-L,27,-14.62962962962963,0,-396,1,1,25,1,left_soc - right_soc (negative => left better),396
AR0400SR,spf_cd_vs_spf,SPF+CD,SPF,27,0,0,0,0,0,27,0,left_soc - right_soc (negative => left better),0
AR0307SR,cdf_h_vs_spf,CDF-H,SPF,27,0.5185185185185185,0,0,13,0,25,2,left_soc - right_soc (negative => left better),13
AR0307SR,cdf_l_vs_spf,CDF-L,SPF,27,0.8148148148148148,0,0,22,0,26,1,left_soc - right_soc (negative => left better),22
AR0307SR,cdf_h_vs_cdf_l,CDF-H,CDF-L,27,-0.2962962962962963,0,-9,1,1,25,1,left_soc - right_soc (negative => left better),9
AR0307SR,spf_cd_vs_spf,SPF+CD,SPF,27,0,0,0,0,0,27,0,left_soc - right_soc (negative => left better),0
pooled_cross_map,cdf_h_vs_spf,CDF-H,SPF,54,0.25925925925925924,0.0,0,13,0,52,2,left_soc - right_soc (negative => left better),13
pooled_cross_map,cdf_l_vs_spf,CDF-L,SPF,54,7.722222222222222,0.0,-1,396,1,51,2,left_soc - right_soc (negative => left better),396
pooled_cross_map,cdf_h_vs_cdf_l,CDF-H,CDF-L,54,-7.462962962962963,0.0,-396,1,2,50,2,left_soc - right_soc (negative => left better),396
pooled_cross_map,spf_cd_vs_spf,SPF+CD,SPF,54,0,0.0,0,0,0,54,0,left_soc - right_soc (negative => left better),0
