catalogue,strategy,run_count,mean_ordering_time_ms,median_ordering_time_ms,mean_pp_time_ms,median_pp_time_ms,mean_total_time_ms,median_total_time_ms,agent_count
AR0400SR,SPF,27,42807.50185928169,29454.846299951896,43192.4195296338,29697.575999889523,85999.92138891549,59152.42229984142,
AR0400SR,CDF-H,27,42807.18004074879,29651.469599921256,43494.624703734495,29868.772600078955,86301.80474448328,59520.24220000021,
AR0400SR,CDF-L,27,42822.42727778955,29720.33379995264,44358.463196264995,29835.13020002283,87180.89047405455,59555.46399997547,
AR0400SR,SPF+CD,27,42767.80098890541,29516.704800073057,43532.523548161545,30150.433800183237,86300.32453706695,59667.138600256294,
AR0400SR,SPF,9,18476.22016675046,15965.863100020215,18424.38367782678,15920.396900037304,36900.60384457724,31886.26000005752,5
AR0400SR,CDF-H,9,18353.686988897,16032.163699856028,18759.797333351646,16109.500499907881,37113.484322248645,32141.66419976391,5
AR0400SR,CDF-L,9,18493.439577830333,16104.081200202927,18542.194222203558,16079.300499986857,37035.633800033895,32183.381700189784,5
AR0400SR,SPF+CD,9,18209.652722218176,15660.898899892345,18740.085599969865,15940.488300053403,36949.738322188045,31601.387199945748,5
AR0400SR,SPF,9,30493.30053333607,25930.412400048226,30825.974855494376,25929.595799883828,61319.27538883044,51860.008199932054,10
AR0400SR,CDF-H,9,30545.772100022685,25990.718999877572,30968.826244481737,26254.48470003903,61514.59834450442,52245.2036999166,10
AR0400SR,CDF-L,9,30640.762144415123,25765.944399870932,30826.749888843755,26029.248600127175,61467.51203325888,51795.19299999811,10
AR0400SR,SPF+CD,9,30600.16967777887,26055.613900069147,31116.981155627098,26159.37120001763,61717.15083340597,52214.98510008678,10
AR0400SR,SPF,9,79452.98487775856,59014.500099932775,80326.90005558025,59191.94689998403,159779.88493333882,118206.4469999168,20
AR0400SR,CDF-H,9,79522.08103332669,58886.44879986532,80755.2505333701,59727.561600040644,160277.33156669678,118614.01039990596,20
AR0400SR,CDF-L,9,79333.08011112321,58465.15920013189,83706.44547774766,59640.7581998501,163039.52558887086,118105.91739998199,20
AR0400SR,SPF+CD,9,79493.58056671917,58836.02100005373,80740.50388888766,59642.29039987549,160234.08445560685,118478.31139992923,20
AR0307SR,SPF,27,53732.75934074385,55211.64350002073,54207.71706296579,55876.87309994362,107940.47640370963,111088.51659996435,
AR0307SR,CDF-H,27,53828.92025187094,55591.99499990791,54509.639070377925,55680.70190004073,108338.55932224887,111272.69689994864,
AR0307SR,CDF-L,27,53803.5417815015,55852.14630002156,54569.896211106054,56149.45639995858,108373.43799260755,112001.60269998014,
AR0307SR,SPF+CD,27,53765.575051859574,56056.41800002195,54539.53585187318,56336.43290004693,108305.11090373276,112392.85090006888,
AR0307SR,SPF,9,28160.28167778212,25447.208000114188,28281.211588893915,25827.522800071165,56441.493266676036,51273.6525000073,5
AR0307SR,CDF-H,9,28132.09525557856,25948.156900005415,28532.59381108607,26352.55070007406,56664.68906666463,52300.70760007948,5
AR0307SR,CDF-L,9,28181.31056671134,25875.23050000891,28536.961999980525,26420.08029995486,56718.27256669187,52295.31079996377,5
AR0307SR,SPF+CD,9,28005.01735552421,25761.96639984846,28420.532333354156,26385.95789996907,56425.54968887837,52147.92429981753,5
AR0307SR,SPF,9,48164.30996668836,47363.074199995026,48480.28785554278,47650.19949991256,96644.59782223114,95013.27369990759,10
AR0307SR,CDF-H,9,48184.156477787634,47368.71850001626,48745.94951115755,48175.36769993603,96930.10598894519,95544.08619995229,10
AR0307SR,CDF-L,9,48232.506411072485,47413.56549994089,48755.20662223506,48177.38050012849,96987.71303330755,95590.94600006938,10
AR0307SR,SPF+CD,9,48296.60748892153,47339.55050003715,48871.49011113474,48774.26890004426,97168.09760005627,96113.81940008141,10
AR0307SR,SPF,9,84873.68637776106,80606.09570005909,85861.65174446069,81728.39860012755,170735.33812222176,162334.49430018663,20
AR0307SR,CDF-H,9,85170.50902224664,80699.3017999921,86250.37388889016,81967.92069985531,171420.88291113678,162667.2224998474,20
AR0307SR,CDF-L,9,84996.80836672067,80787.27560001425,86417.52001110258,81713.35590002127,171414.32837782323,162500.63150003552,20
