catalogue,scope,instance_count,same_order_count,different_order_count,same_soc_count,different_soc_count,same_makespan_count,different_makespan_count,cdf_h_different_order_count,cdf_l_different_order_count,cdf_h_order_diff_no_soc_diff_count,cdf_l_order_diff_no_soc_diff_count,instance_id,agent_count,interaction_level,same_order,soc_equal,makespan_equal,cdf_h_same_order_as_spf,cdf_l_same_order_as_spf
AR0400SR,aggregate,27,27,0,27,0,27,0,18,16,18,14,,,,,,,,
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_low_000,5,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_low_001,5,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_low_002,5,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_medium_000,5,medium,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_medium_001,5,medium,True,True,True,False,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_medium_002,5,medium,True,True,True,False,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_high_000,5,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_high_001,5,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n05_high_002,5,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_low_000,10,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_low_001,10,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_low_002,10,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_medium_000,10,medium,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_medium_001,10,medium,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_medium_002,10,medium,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_high_000,10,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_high_001,10,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n10_high_002,10,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_low_000,20,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_low_001,20,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_low_002,20,low,True,True,True,True,True
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_medium_000,20,medium,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_medium_001,20,medium,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_medium_002,20,medium,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_high_000,20,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_high_001,20,high,True,True,True,False,False
AR0400SR,instance,,,,,,,,,,,,AR0400SR_n20_high_002,20,high,True,True,True,False,False
AR0307SR,aggregate,27,27,0,27,0,27,0,18,18,16,17,,,,,,,,
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_low_000,5,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_low_001,5,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_low_002,5,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_medium_000,5,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_medium_001,5,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_medium_002,5,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_high_000,5,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_high_001,5,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n05_high_002,5,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_low_000,10,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_low_001,10,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_low_002,10,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_medium_000,10,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_medium_001,10,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_medium_002,10,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_high_000,10,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_high_001,10,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n10_high_002,10,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_low_000,20,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_low_001,20,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_low_002,20,low,True,True,True,True,True
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_medium_000,20,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_medium_001,20,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_medium_002,20,medium,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_high_000,20,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_high_001,20,high,True,True,True,False,False
AR0307SR,instance,,,,,,,,,,,,AR0307SR_n20_high_002,20,high,True,True,True,False,False
pooled_cross_map,aggregate,54,54,0,54,0,54,0,36,34,34,31,,,,,,,,
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_low_000,5,low,True,True,True,True,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_low_001,5,low,True,True,True,True,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_low_002,5,low,True,True,True,True,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_medium_000,5,medium,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_medium_001,5,medium,True,True,True,False,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_medium_002,5,medium,True,True,True,False,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_high_000,5,high,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_high_001,5,high,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n05_high_002,5,high,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_low_000,10,low,True,True,True,True,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_low_001,10,low,True,True,True,True,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_low_002,10,low,True,True,True,True,True
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_medium_000,10,medium,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_medium_001,10,medium,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_medium_002,10,medium,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_high_000,10,high,True,True,True,False,False
pooled_cross_map,instance,,,,,,,,,,,,AR0400SR_n10_high_001,10,high,True,True,True,False,False
