scope,actual_a_i,instance_count,metric,value
AR0400SR,0,9,,
AR0400SR,1,11,,
AR0400SR,2,1,,
AR0400SR,3,4,,
AR0400SR,4,2,,
AR0400SR,,,sum_actual_a_i,33
AR0400SR,,,mean_actual_a_i,1.2222222222222223
AR0400SR,,,median_actual_a_i,1
AR0400SR,,,fraction_a_i_zero,0.3333333333333333
AR0400SR,,,fraction_a_i_at_budget_cap,0.07407407407407407
AR0400SR,,,physical_pp_eval_count,93
AR0307SR,0,9,,
AR0307SR,1,6,,
AR0307SR,2,5,,
AR0307SR,3,2,,
AR0307SR,4,5,,
AR0307SR,,,sum_actual_a_i,42
AR0307SR,,,mean_actual_a_i,1.5555555555555556
AR0307SR,,,median_actual_a_i,1
AR0307SR,,,fraction_a_i_zero,0.3333333333333333
AR0307SR,,,fraction_a_i_at_budget_cap,0.18518518518518517
AR0307SR,,,physical_pp_eval_count,111
pooled,0,18,,
pooled,1,17,,
pooled,2,6,,
pooled,3,6,,
pooled,4,7,,
pooled,,,sum_actual_a_i,75
pooled,,,mean_actual_a_i,1.3888888888888888
pooled,,,median_actual_a_i,1.0
pooled,,,fraction_a_i_zero,0.3333333333333333
pooled,,,fraction_a_i_at_budget_cap,0.12962962962962962
pooled,,,physical_pp_eval_count,204
