manifest_sha256,map_name,instance_id,method,candidate_id,agent_order,success,soc,makespan,pair_conflict_event_count,matches_cglps_candidate_order,selected
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_000,cglps,0,"[4, 1, 0, 3, 2]",True,1295,478,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_000,cglps,1,"[0, 1, 4, 3, 2]",True,1294,478,78,True,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_000,ubls,0,"[4, 1, 0, 3, 2]",True,1295,478,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_000,ubls,1,"[0, 1, 4, 3, 2]",True,1294,478,,True,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_001,cglps,0,"[0, 4, 2, 3, 1]",True,1118,418,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_001,cglps,1,"[1, 4, 2, 3, 0]",True,1119,418,3,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_001,ubls,0,"[0, 4, 2, 3, 1]",True,1118,418,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_001,ubls,1,"[4, 0, 2, 3, 1]",True,1118,418,,False,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_002,cglps,0,"[4, 1, 0, 3, 2]",True,1561,370,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_002,cglps,1,"[0, 1, 4, 3, 2]",True,1561,370,168,True,False
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_002,ubls,0,"[4, 1, 0, 3, 2]",True,1561,370,,False,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_002,ubls,1,"[2, 1, 0, 3, 4]",True,1561,370,,False,False
