manifest_sha256,map_name,instance_id,method,actual_a_i,selected_candidate_id,selected_baseline,selected_non_baseline,winning_candidate_rank,winning_canonical_pair,winning_pair_conflict_event_count,top_ranked_pair_selected
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_000,cglps,1,1,0,1,1,"(0, 4)",78,True
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_000,ubls,1,1,0,1,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_001,cglps,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_001,ubls,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_002,cglps,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_high_002,ubls,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_low_000,cglps,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_low_000,ubls,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_low_001,cglps,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_low_001,ubls,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_low_002,cglps,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_low_002,ubls,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_medium_000,cglps,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_medium_000,ubls,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_medium_001,cglps,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_medium_001,ubls,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_medium_002,cglps,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n05_medium_002,ubls,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,cglps,3,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_000,ubls,3,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n10_high_001,cglps,3,0,1,0,,,,
