group,metric,instance_count,count,sum,mean,median,min,max
cglps_soc_improved,manifest_independent_conflict_count,2,2,85.0,42.5,42.5,7.0,78.0
cglps_soc_improved,manifest_conflicting_agent_pair_count,2,2,8.0,4.0,4.0,1.0,7.0
cglps_soc_improved,max_conflict_degree,2,2,5.0,2.5,2.5,1.0,4.0
cglps_soc_improved,actual_a_i,2,2,5.0,2.5,2.5,1.0,4.0
cglps_soc_not_improved,manifest_independent_conflict_count,52,52,1198.0,23.03846153846154,1.0,0.0,367.0
cglps_soc_not_improved,manifest_conflicting_agent_pair_count,52,52,82.0,1.5769230769230769,1.0,0.0,9.0
cglps_soc_not_improved,max_conflict_degree,52,52,58.0,1.1153846153846154,1.0,0.0,5.0
cglps_soc_not_improved,actual_a_i,52,52,70.0,1.3461538461538463,1.0,0.0,4.0
cglps_lex_improved,manifest_independent_conflict_count,5,5,695.0,139.0,78.0,2.0,367.0
cglps_lex_improved,manifest_conflicting_agent_pair_count,5,5,12.0,2.4,1.0,1.0,7.0
cglps_lex_improved,max_conflict_degree,5,5,8.0,1.6,1.0,1.0,4.0
cglps_lex_improved,actual_a_i,5,5,9.0,1.8,1.0,1.0,4.0
cglps_lex_not_improved,manifest_independent_conflict_count,49,49,588.0,12.0,1.0,0.0,270.0
cglps_lex_not_improved,manifest_conflicting_agent_pair_count,49,49,78.0,1.5918367346938775,1.0,0.0,9.0
cglps_lex_not_improved,max_conflict_degree,49,49,55.0,1.1224489795918366,1.0,0.0,5.0
cglps_lex_not_improved,actual_a_i,49,49,66.0,1.346938775510204,1.0,0.0,4.0
interaction_low,instance_count,18,18,18,18,18,18,18
interaction_medium,instance_count,18,18,18,18,18,18,18
interaction_high,instance_count,18,18,18,18,18,18,18
agent_count_5,instance_count,18,18,18,18,18,18,18
agent_count_10,instance_count,18,18,18,18,18,18,18
agent_count_20,instance_count,18,18,18,18,18,18,18
