manifest_sha256,map_name,catalogue_seed,instance_id,agent_count,interaction_level,actual_a_i,search_active,manifest_independent_conflict_count,manifest_conflicting_agent_pair_count,max_conflict_degree,spf_success,cglps_success,ubls_success,recovered_by_cglps,recovered_by_ubls,unrecovered,spf_soc,spf_makespan,cglps_soc,cglps_makespan,ubls_soc,ubls_makespan,cglps_selected_candidate_id,ubls_selected_candidate_id,cglps_soc_improvement_vs_spf,ubls_soc_improvement_vs_spf,cglps_makespan_only_vs_spf,ubls_makespan_only_vs_spf,cglps_lex_vs_spf,ubls_lex_vs_spf,cglps_vs_ubls_soc_diff,cglps_vs_ubls_lex,spf_logical_runtime_ms,cglps_logical_runtime_ms,ubls_logical_runtime_ms,physical_instance_wall_time_ms
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_high_000,5,high,1,True,241,1,1,True,True,True,False,False,False,1037,357,1037,356,1037,357,1,0,0,0,True,False,left_better,equal,0,left_better,3939.343000005465,5906.5468999615405,5962.868000002345,7942.620799993165
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_high_001,5,high,3,True,3,3,2,True,True,True,False,False,False,1366,395,1366,395,1366,395,0,0,0,0,False,False,equal,equal,0,equal,51740.79299997538,129607.15859994525,129979.9530999735,207869.6802999766
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_high_002,5,high,1,True,367,1,1,True,True,True,False,False,False,1832,499,1832,498,1832,499,1,0,0,0,True,False,left_better,equal,0,left_better,154238.68609996862,231933.3419999748,232539.48429998127,310252.5201999815
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_low_000,5,low,0,False,0,0,0,True,True,True,False,False,False,1665,511,1665,511,1665,511,0,0,0,0,False,False,equal,equal,0,equal,49787.471499992535,49791.679399990244,49787.51630001352,49796.755999996094
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_low_001,5,low,0,False,0,0,0,True,True,True,False,False,False,1034,476,1034,476,1034,476,0,0,0,0,False,False,equal,equal,0,equal,33218.51899995818,33222.02869996545,33218.559599947184,33226.98440001113
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_low_002,5,low,0,False,0,0,0,True,True,True,False,False,False,1609,489,1609,489,1609,489,0,0,0,0,False,False,equal,equal,0,equal,108649.24980001524,108653.20060003432,108649.28460001829,108658.80889998516
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_medium_000,5,medium,2,True,2,2,2,True,True,True,False,False,False,1652,499,1652,499,1652,499,0,0,0,0,False,False,equal,equal,0,equal,95719.56080000382,191882.31189997168,192483.8185000408,288671.24249998596
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_medium_001,5,medium,1,True,1,1,1,True,True,True,False,False,False,1164,472,1164,472,1164,472,0,0,0,0,False,False,equal,equal,0,equal,60129.594400001224,102269.01720001479,90643.2797999878,132797.4317999906
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n05_medium_002,5,medium,1,True,1,1,1,True,True,True,False,False,False,1324,512,1324,512,1324,512,0,0,0,0,False,False,equal,equal,0,equal,93778.3250999637,141081.58109997748,140640.36069996655,187960.77999999397
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n10_high_000,10,high,4,True,6,6,3,True,True,True,False,False,False,3409,481,3409,481,3409,481,0,0,0,0,False,False,equal,equal,0,equal,194371.6856999963,584274.9634999782,584937.6852999849,974996.762099996
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,2031,AR0307SR_n10_high_001,10,high,3,True,78,3,1,True,True,True,False,False,False,3252,503,3252,503,3252,503,0,0,0,0,False,False,equal,equal,0,equal,192102.92849998223,488696.6869000171,498999.1578999907,795722.4650999997
