scope,method,instance_count,success_count,failure_count,logical_pp_candidates,additional_pp_eval_count_total,logical_runtime_ms_total
AR0400SR,SPF,27,27,0,27,0,2988571.867599938
AR0400SR,CGLPS,27,27,0,60,33,5441944.91039982
AR0400SR,UBLS,27,27,0,60,33,5391467.942400021
AR0307SR,SPF,27,27,0,27,0,2996875.188399863
AR0307SR,CGLPS,27,27,0,69,42,6197502.053599862
AR0307SR,UBLS,27,27,0,69,42,6183111.024399811
pooled,SPF,54,54,0,54,0,5985447.055999801
pooled,CGLPS,54,54,0,129,75,11639446.963999683
pooled,UBLS,54,54,0,129,75,11574578.966799833
search_active,SPF,36,36,0,36,0,4373096.495699836
search_active,CGLPS,36,36,0,111,75,10026595.402999751
search_active,UBLS,36,36,0,111,75,9962227.451099869
