scope,method,metric,count,sum,mean,median,min,max
AR0400SR,spf,logical_runtime_ms,27,2988571.867599938,110687.84694814585,104921.85590000008,1240.053200017428,339660.72480002185
AR0400SR,cglps,logical_runtime_ms,27,5441944.91039982,201553.5151999933,114877.54180000047,1891.31770003587,747952.5330000324
AR0400SR,ubls,logical_runtime_ms,27,5391467.942400021,199683.99786666743,114809.87790002837,1855.2809999964666,747065.820000018
AR0400SR,physical_execution,run_log_elapsed_s,1,7848.5,7848.5,7848.5,7848.5,7848.5
AR0400SR,physical_execution,physical_pp_evaluations,1,93,93,93,93,93
AR0400SR,physical_execution,sum_instance_wall_time_ms,27,7848279.551899992,290677.02044074045,114945.06030000048,2516.8686999822967,1247307.5040999975
AR0400SR,cglps,logical_runtime_ratio_vs_spf,27,44.844513713058895,1.6609079152984776,1.5082655581038185,1.0000932794095088,3.0670555768556538
AR0400SR,cglps,logical_runtime_extra_ms_vs_spf,27,2453373.0427998817,90865.66825184747,13849.567500001285,3.4300999832339585,499599.37900002114
AR0400SR,ubls,logical_runtime_ratio_vs_spf,27,43.651768284660555,1.6167321586911316,1.5014262893221137,1.000000315903386,3.0239901730695804
AR0400SR,ubls,logical_runtime_extra_ms_vs_spf,27,2402896.0748000825,88996.15091852158,11502.393600007053,0.035200006095692515,498712.6660000067
AR0307SR,spf,logical_runtime_ms,27,2996875.188399863,110995.37734814307,93778.3250999637,3939.343000005465,276216.5951000061
AR0307SR,cglps,logical_runtime_ms,27,6197502.053599862,229537.11309629123,141081.58109997748,5906.5468999615405,836587.927000015
AR0307SR,ubls,logical_runtime_ms,27,6183111.024399811,229004.11201480785,140640.36069996655,5962.868000002345,841653.7378999637
AR0307SR,physical_execution,run_log_elapsed_s,1,9387.8,9387.8,9387.8,9387.8,9387.8
AR0307SR,physical_execution,physical_pp_evaluations,1,111,111,111,111,111
AR0307SR,physical_execution,sum_instance_wall_time_ms,27,9387651.553699862,347690.79828518006,187960.77999999397,7942.620799993165,1402680.908499984
AR0307SR,cglps,logical_runtime_ratio_vs_spf,27,48.54515067991254,1.7979685437004642,1.6000285421732634,1.0000363628835576,3.06369989775756
AR0307SR,cglps,logical_runtime_extra_ms_vs_spf,27,3200626.8652,118541.73574814814,48147.4669999734,3.5097000072710216,560371.331900009
AR0307SR,ubls,logical_runtime_ratio_vs_spf,27,48.26933221587055,1.7877530450322425,1.507659914512385,1.0000003202967633,3.047078824482784
AR0307SR,ubls,logical_runtime_extra_ms_vs_spf,27,3186235.835999949,118008.73466666478,46862.035600002855,0.03480000304989517,565437.1427999577
pooled,spf,logical_runtime_ms,54,5985447.055999801,110841.61214814446,94748.94294998376,1240.053200017428,339660.72480002185
pooled,cglps,logical_runtime_ms,54,11639446.963999683,215545.31414814226,128998.29339997086,1891.31770003587,836587.927000015
pooled,ubls,logical_runtime_ms,54,11574578.966799833,214344.05494073764,124951.43764998647,1855.2809999964666,841653.7378999637
pooled,cglps,logical_runtime_ratio_vs_spf,54,93.38966439297143,1.729438229499471,1.5089715532940362,1.0000363628835576,3.0670555768556538
pooled,cglps,logical_runtime_extra_ms_vs_spf,54,5653999.907999882,104703.70199999781,37186.30304998078,3.4300999832339585,560371.331900009
pooled,ubls,logical_runtime_ratio_vs_spf,54,91.9211005005311,1.702242601861687,1.5022417713018126,1.000000315903386,3.047078824482784
pooled,ubls,logical_runtime_extra_ms_vs_spf,54,5589131.910800031,103502.44279259318,29901.526699992246,0.03480000304989517,565437.1427999577
