scope,comparison,common_success_instances,soc_improved_count,soc_equal_count,soc_structurally_worse_count,makespan_only_improved_count,best_soc_improvement,total_soc_improvement,mean_soc_improvement_all_common,median_soc_improvement_all_common,mean_soc_improvement_improved_only,cglps_better_count,equal_count,ubls_better_count,mean_diff_cglps_minus_ubls,beneficiary,other_method,unique_soc_advantage_count,unique_lex_advantage_count
AR0400SR,CGLPS_vs_SPF,27,1,26,0,0,1,1,0.037037037037037035,0,1,,,,,,,,
AR0400SR,UBLS_vs_SPF,27,1,26,0,0,1,1,0.037037037037037035,0,1,,,,,,,,
AR0400SR,CGLPS_vs_UBLS_soc,,,,,,,,,,,0,27,0,0,,,,
AR0400SR,,,,,,,,,,,,,,,,CGLPS,UBLS,0,0
AR0400SR,,,,,,,,,,,,,,,,UBLS,CGLPS,0,0
AR0307SR,CGLPS_vs_SPF,27,1,26,0,3,2,2,0.07407407407407407,0,2,,,,,,,,
AR0307SR,UBLS_vs_SPF,27,0,27,0,0,0,0,0,0,,,,,,,,,
AR0307SR,CGLPS_vs_UBLS_soc,,,,,,,,,,,1,26,0,-0.07407407407407407,,,,
AR0307SR,,,,,,,,,,,,,,,,CGLPS,UBLS,1,4
AR0307SR,,,,,,,,,,,,,,,,UBLS,CGLPS,0,0
pooled,CGLPS_vs_SPF,54,2,52,0,3,2,3,0.05555555555555555,0.0,1.5,,,,,,,,
pooled,UBLS_vs_SPF,54,1,53,0,0,1,1,0.018518518518518517,0.0,1,,,,,,,,
pooled,CGLPS_vs_UBLS_soc,,,,,,,,,,,1,53,0,-0.037037037037037035,,,,
pooled,,,,,,,,,,,,,,,,CGLPS,UBLS,1,4
pooled,,,,,,,,,,,,,,,,UBLS,CGLPS,0,0
search_active,CGLPS_vs_SPF,36,2,34,0,3,2,3,0.08333333333333333,0.0,1.5,,,,,,,,
search_active,UBLS_vs_SPF,36,1,35,0,0,1,1,0.027777777777777776,0.0,1,,,,,,,,
search_active,CGLPS_vs_UBLS_soc,,,,,,,,,,,1,35,0,-0.05555555555555555,,,,
search_active,,,,,,,,,,,,,,,,CGLPS,UBLS,1,4
search_active,,,,,,,,,,,,,,,,UBLS,CGLPS,0,0
