manifest_sha256,map_name,catalogue_role,catalogue_seed,instance_id,method,success,termination_reason,selected_candidate_id,selected_agent_order_json,soc,makespan,final_conflict_count,additional_pp_eval_count,logical_pp_candidate_count,logical_runtime_ms,baseline_spf_pp_time_ms,method_specific_runtime_ms
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_000,spf,True,success,0,"[2, 0, 4, 1, 3]",1037,357,0,0,1,3939.343000005465,2016.0249999898952,2016.0249999898952
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_000,cglps,True,success,1,"[2, 0, 4, 3, 1]",1037,356,0,1,2,5906.5468999615405,2016.0249999898952,1964.1917999833822
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_000,ubls,True,success,0,"[2, 0, 4, 1, 3]",1037,357,0,1,2,5962.868000002345,2016.0249999898952,2023.52499999688
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_001,spf,True,success,0,"[1, 0, 4, 2, 3]",1366,395,0,0,1,51740.79299997538,26060.86449997383,26060.86449997383
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_001,cglps,True,success,0,"[1, 0, 4, 2, 3]",1366,395,0,3,4,129607.15859994525,26060.86449997383,77863.25969998143
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_001,ubls,True,success,0,"[1, 0, 4, 2, 3]",1366,395,0,3,4,129979.9530999735,26060.86449997383,78239.16009999812
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_002,spf,True,success,0,"[3, 0, 1, 4, 2]",1832,499,0,0,1,154238.68609996862,77717.57809998235,77717.57809998235
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_002,cglps,True,success,1,"[3, 0, 1, 2, 4]",1832,498,0,1,2,231933.3419999748,77717.57809998235,77690.1257999998
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_high_002,ubls,True,success,0,"[3, 0, 1, 4, 2]",1832,499,0,1,2,232539.48429998127,77717.57809998235,78300.79820001265
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,mapf9_primary,2031,AR0307SR_n05_low_000,spf,True,success,0,"[2, 3, 1, 4, 0]",1665,511,0,0,1,49787.471499992535,24731.030399998417,24731.030399998417
