instance_id,algorithm,max_expanded_nodes,agent_count,interaction_level,success,termination_reason,execution_time_ms,soc,makespan,independent_soc,independent_makespan,independent_conflict_count,cbs_expanded_ct_nodes,cbs_generated_ct_nodes,cbs_low_level_replans,cbs_max_open_size,cbs_classified_conflicts,cbs_classification_low_level_searches,cbs_selected_cardinal_conflicts,cbs_selected_semi_cardinal_conflicts,cbs_selected_non_cardinal_conflicts,cbs_combined_low_level_searches,error_message
AR0204SR_n05_high_000,cbs_basic,10,5,high,False,expansion_limit,20252.447100006975,,,1261,352,4,10,21,20,11,0,0,0,0,0,20,
AR0204SR_n05_high_000,cbs_basic,25,5,high,False,expansion_limit,52280.25279997382,,,1261,352,4,25,51,50,26,0,0,0,0,0,50,
AR0204SR_n05_high_000,cbs_basic,50,5,high,True,success,63684.638699982315,1263,352,1261,352,4,31,63,62,32,0,0,0,0,0,62,
AR0204SR_n05_high_000,cbs_cardinal_first,10,5,high,False,expansion_limit,73712.23070006818,,,1261,352,4,10,21,20,11,32,64,5,0,5,84,
AR0204SR_n05_high_000,cbs_cardinal_first,25,5,high,True,success,104095.14250000939,1263,352,1261,352,4,19,39,38,20,42,84,5,0,14,122,
AR0204SR_n05_low_000,cbs_basic,10,5,low,True,success,7304.047600016929,1378,379,1378,379,0,0,1,0,1,0,0,0,0,0,0,
AR0204SR_n05_low_000,cbs_cardinal_first,10,5,low,True,success,7712.434099987149,1378,379,1378,379,0,0,1,0,1,0,0,0,0,0,0,
AR0204SR_n05_medium_000,cbs_basic,10,5,medium,True,success,5176.360400044359,1299,398,1299,398,1,1,3,2,2,0,0,0,0,0,2,
AR0204SR_n05_medium_000,cbs_cardinal_first,10,5,medium,True,success,6704.684900003485,1299,398,1299,398,1,1,3,2,2,1,2,0,0,1,4,
AR0204SR_n10_high_000,cbs_basic,10,10,high,False,expansion_limit,66360.35420000553,,,2483,511,10,10,21,20,11,0,0,0,0,0,20,
AR0204SR_n10_high_000,cbs_basic,25,10,high,False,expansion_limit,160731.00449994672,,,2483,511,10,25,51,50,26,0,0,0,0,0,50,
AR0204SR_n10_low_000,cbs_basic,10,10,low,True,success,26520.754700060934,2594,495,2594,495,0,0,1,0,1,0,0,0,0,0,0,
AR0204SR_n10_low_000,cbs_cardinal_first,10,10,low,True,success,26246.9649000559,2594,495,2594,495,0,0,1,0,1,0,0,0,0,0,0,
AR0204SR_n10_medium_000,cbs_basic,10,10,medium,True,success,146618.46440006047,2797,497,2797,497,2,3,7,6,4,0,0,0,0,0,6,
AR0204SR_n10_medium_000,cbs_cardinal_first,10,10,medium,True,success,150574.04040009715,2797,497,2797,497,2,2,5,4,3,3,6,0,1,1,10,
