instance_id,agent_count,interaction_level,cdf_h_soc,cdf_l_soc,soc_diff_cdf_h_minus_cdf_l,direction,max_degree,independent_conflict_pair_count
AR0204SR_n05_low_000,5,low,1378,1378,0,equal,0,0
AR0204SR_n05_low_001,5,low,868,868,0,equal,0,0
AR0204SR_n05_low_002,5,low,878,878,0,equal,0,0
AR0204SR_n05_medium_000,5,medium,1299,1299,0,equal,1,1
AR0204SR_n05_medium_001,5,medium,1291,1291,0,equal,1,1
AR0204SR_n05_medium_002,5,medium,1396,1396,0,equal,1,1
AR0204SR_n05_high_000,5,high,1263,1263,0,equal,2,4
AR0204SR_n05_high_001,5,high,1664,1664,0,equal,3,3
AR0204SR_n05_high_002,5,high,1670,1668,2,cdf_l_better,3,3
AR0204SR_n10_low_000,10,low,2594,2594,0,equal,0,0
AR0204SR_n10_low_001,10,low,2400,2400,0,equal,0,0
AR0204SR_n10_low_002,10,low,1862,1862,0,equal,0,0
AR0204SR_n10_medium_000,10,medium,2797,2797,0,equal,1,2
AR0204SR_n10_medium_001,10,medium,2567,2567,0,equal,1,1
AR0204SR_n10_medium_002,10,medium,1960,1960,0,equal,1,1
AR0204SR_n10_high_000,10,high,2550,2485,65,cdf_l_better,4,10
AR0204SR_n10_high_001,10,high,3181,2962,219,cdf_l_better,3,3
AR0204SR_n10_high_002,10,high,3458,3415,43,cdf_l_better,3,4
AR0204SR_n20_low_000,20,low,5607,5607,0,equal,0,0
AR0204SR_n20_low_001,20,low,5969,5969,0,equal,0,0
AR0204SR_n20_low_002,20,low,4726,4726,0,equal,0,0
AR0204SR_n20_medium_000,20,medium,5192,5192,0,equal,1,1
AR0204SR_n20_medium_001,20,medium,5428,5428,0,equal,2,2
AR0204SR_n20_medium_002,20,medium,5565,5565,0,equal,1,1
AR0204SR_n20_high_000,20,high,4918,4918,0,equal,4,7
AR0204SR_n20_high_001,20,high,5157,5046,111,cdf_l_better,4,10
AR0204SR_n20_high_002,20,high,4829,4829,0,equal,2,3
