instance_id,agent_count,interaction_level,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,mapf7_soc_range,mapf7_soc_all_equal
AR0204SR_n05_low_000,5,low,0,0,0,0,5,1,0.0,0,True
AR0204SR_n05_low_001,5,low,0,0,0,0,5,1,0.0,0,True
AR0204SR_n05_low_002,5,low,0,0,0,0,5,1,0.0,0,True
AR0204SR_n05_medium_000,5,medium,1,1,1,0.4,3,2,0.4898979485566356,0,True
AR0204SR_n05_medium_001,5,medium,1,1,1,0.4,3,2,0.4898979485566356,0,True
AR0204SR_n05_medium_002,5,medium,1,1,1,0.4,3,2,0.4898979485566356,0,True
AR0204SR_n05_high_000,5,high,4,4,2,1.6,1,2,0.8,0,True
AR0204SR_n05_high_001,5,high,3,3,3,1.2,1,3,0.9797958971132712,0,True
AR0204SR_n05_high_002,5,high,3,3,3,1.2,1,3,0.9797958971132712,2,False
AR0204SR_n10_low_000,10,low,0,0,0,0,10,1,0.0,0,True
AR0204SR_n10_low_001,10,low,0,0,0,0,10,1,0.0,0,True
AR0204SR_n10_low_002,10,low,0,0,0,0,10,1,0.0,0,True
AR0204SR_n10_medium_000,10,medium,2,2,1,0.4,6,2,0.4898979485566356,0,True
AR0204SR_n10_medium_001,10,medium,1,1,1,0.2,8,2,0.4,0,True
AR0204SR_n10_medium_002,10,medium,1,1,1,0.2,8,2,0.4,0,True
AR0204SR_n10_high_000,10,high,10,10,4,2,2,5,1.4142135623730951,65,False
AR0204SR_n10_high_001,10,high,3,3,3,0.6,6,3,0.916515138991168,219,False
AR0204SR_n10_high_002,10,high,4,4,3,0.8,5,4,0.9797958971132712,43,False
AR0204SR_n20_low_000,20,low,0,0,0,0,20,1,0.0,0,True
AR0204SR_n20_low_001,20,low,0,0,0,0,20,1,0.0,0,True
AR0204SR_n20_low_002,20,low,0,0,0,0,20,1,0.0,0,True
AR0204SR_n20_medium_000,20,medium,1,1,1,0.1,18,2,0.3,0,True
AR0204SR_n20_medium_001,20,medium,2,2,2,0.2,17,3,0.5099019513592785,0,True
AR0204SR_n20_medium_002,20,medium,1,1,1,0.1,18,2,0.3,0,True
AR0204SR_n20_high_000,20,high,49,7,4,0.7,10,4,0.9539392014169457,0,True
AR0204SR_n20_high_001,20,high,10,10,4,1,10,5,1.224744871391589,415,False
AR0204SR_n20_high_002,20,high,3,3,2,0.3,15,3,0.5567764362830022,0,True
