instance_id,agent_count,interaction_level,fixed_soc,random_soc_median,random_soc_min,random_soc_max,random_sampled_best_of_k_soc,random_sampled_best_of_k_note,spf_soc,lpf_soc,cdf_h_soc,cdf_l_soc,spf_cd_soc,cbs_soc,spf_makespan,lpf_makespan,cdf_h_makespan,cdf_l_makespan,spf_cd_makespan,fixed_makespan,observed_priority_sensitive,random_soc_range,random_unique_soc_count,random_makespan_range,independent_conflict_count,independent_conflict_pair_count,max_degree,mean_degree,degree_zero_count,distinct_degree_count,degree_stddev,cdf_h_agent_order,cdf_h_original_index_order,spf_agent_order,spf_cd_original_index_order
AR0204SR_n05_low_000,5,low,1378,1378.0,1378,1378,1378,sampled best-of-K diagnostic only,1378,1378,1378,1378,1378,1378,379,379,379,379,379,379,False,0,1,0,0,0,0,0,5,1,0.0,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]"
AR0204SR_n05_low_001,5,low,868,868.0,868,868,868,sampled best-of-K diagnostic only,868,868,868,868,868,868,271,271,271,271,271,271,False,0,1,0,0,0,0,0,5,1,0.0,"[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]"
AR0204SR_n05_low_002,5,low,878,878.0,878,878,878,sampled best-of-K diagnostic only,878,878,878,878,878,878,320,320,320,320,320,320,False,0,1,0,0,0,0,0,5,1,0.0,"[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]"
AR0204SR_n05_medium_000,5,medium,1299,1299.0,1299,1299,1299,sampled best-of-K diagnostic only,1299,1299,1299,1299,1299,1299,398,398,398,398,398,398,False,0,1,0,1,1,1,0.4,3,2,0.4898979485566356,"[1, 4, 2, 3, 0]","[1, 4, 2, 3, 0]","[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]"
AR0204SR_n05_medium_001,5,medium,1291,1291.0,1291,1291,1291,sampled best-of-K diagnostic only,1291,1291,1291,1291,1291,1291,333,333,333,333,333,333,False,0,1,0,1,1,1,0.4,3,2,0.4898979485566356,"[2, 4, 0, 3, 1]","[2, 4, 0, 3, 1]","[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]"
AR0204SR_n05_medium_002,5,medium,1396,1396.0,1396,1396,1396,sampled best-of-K diagnostic only,1396,1396,1396,1396,1396,1396,490,490,490,490,490,490,False,0,1,0,1,1,1,0.4,3,2,0.4898979485566356,"[4, 2, 3, 0, 1]","[4, 2, 3, 0, 1]","[3, 0, 4, 2, 1]","[3, 0, 4, 2, 1]"
AR0204SR_n05_high_000,5,high,1263,1263.0,1263,1263,1263,sampled best-of-K diagnostic only,1263,1263,1263,1263,1263,1263,352,352,352,352,352,352,False,0,1,0,4,4,2,1.6,1,2,0.8,"[0, 2, 3, 4, 1]","[0, 2, 3, 4, 1]","[0, 2, 1, 3, 4]","[0, 2, 1, 3, 4]"
AR0204SR_n05_high_001,5,high,1664,1664.0,1664,1664,1664,sampled best-of-K diagnostic only,1664,1664,1664,1664,1664,1664,458,458,458,458,458,458,False,0,1,0,3,3,3,1.2,1,3,0.9797958971132712,"[4, 1, 3, 2, 0]","[4, 1, 3, 2, 0]","[0, 4, 1, 3, 2]","[0, 4, 1, 3, 2]"
AR0204SR_n05_high_002,5,high,1670,1670.0,1668,1670,1668,sampled best-of-K diagnostic only,1670,1668,1670,1668,1670,1668,408,406,408,406,408,408,True,2,2,2,3,3,3,1.2,1,3,0.9797958971132712,"[0, 1, 4, 3, 2]","[0, 1, 4, 3, 2]","[1, 4, 0, 2, 3]","[1, 4, 0, 2, 3]"
AR0204SR_n10_low_000,10,low,2594,2594.0,2594,2594,2594,sampled best-of-K diagnostic only,2594,2594,2594,2594,2594,2594,495,495,495,495,495,495,False,0,1,0,0,0,0,0,10,1,0.0,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]"
