instance_id,agent_count,interaction_level,spf_soc,spf_cd_soc,soc_equal,soc_diff_spf_cd_minus_spf,spf_makespan,spf_cd_makespan,makespan_equal,spf_total_time_ms,spf_cd_total_time_ms,spf_agent_order,spf_cd_original_index_order,same_priority_order,order_comparison_note,tie_break_explanation,max_degree,distinct_degree_count
AR0204SR_n05_low_000,5,low,1378,1378,True,0,379,379,True,14634.818200021982,14746.190399979241,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n05_low_001,5,low,868,868,True,0,271,271,True,25322.46220007073,25682.822200120427,"[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n05_low_002,5,low,878,878,True,0,320,320,True,4014.6478000096977,3965.1329999323934,"[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n05_medium_000,5,medium,1299,1299,True,0,398,398,True,7349.43500009831,7181.718200095929,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n05_medium_001,5,medium,1291,1291,True,0,333,333,True,18377.888099988922,18162.42010006681,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n05_medium_002,5,medium,1396,1396,True,0,490,490,True,54433.026899932884,53262.244699988514,"[3, 0, 4, 2, 1]","[3, 0, 4, 2, 1]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n05_high_000,5,high,1263,1263,True,0,352,352,True,6769.049199996516,6661.803799914196,"[0, 2, 1, 3, 4]","[0, 2, 1, 3, 4]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,2,2
AR0204SR_n05_high_001,5,high,1664,1664,True,0,458,458,True,24040.260800044052,23535.92099994421,"[0, 4, 1, 3, 2]","[0, 4, 1, 3, 2]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,3,3
AR0204SR_n05_high_002,5,high,1670,1670,True,0,408,408,True,5483.8154999306425,5380.550400004722,"[1, 4, 0, 2, 3]","[1, 4, 0, 2, 3]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,3,3
AR0204SR_n10_low_000,10,low,2594,2594,True,0,495,495,True,48747.7037999779,49516.427500057034,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]","[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n10_low_001,10,low,2400,2400,True,0,455,455,True,59354.37820001971,60026.75740013365,"[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]","[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n10_low_002,10,low,1862,1862,True,0,343,343,True,7700.455599930137,7625.660600140691,"[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]","[2, 3, 0, 9, 5, 1, 6, 8, 7, 4]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
AR0204SR_n10_medium_000,10,medium,2797,2797,True,0,497,497,True,111103.68360008579,112147.20329991542,"[8, 2, 9, 7, 5, 4, 3, 6, 0, 1]","[8, 2, 9, 7, 5, 4, 3, 6, 0, 1]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n10_medium_001,10,medium,2567,2567,True,0,505,505,True,58225.171500002034,59042.21869993489,"[1, 7, 5, 3, 2, 0, 6, 9, 4, 8]","[1, 7, 5, 3, 2, 0, 6, 9, 4, 8]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n10_medium_002,10,medium,1960,1960,True,0,441,441,True,11812.796000041999,11884.79870010633,"[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]","[1, 2, 9, 7, 8, 5, 0, 4, 6, 3]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,1,2
AR0204SR_n10_high_000,10,high,2487,2487,True,0,511,511,True,35052.339599933475,35692.668599891476,"[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]","[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,4,5
AR0204SR_n10_high_001,10,high,2962,2962,True,0,512,512,True,71235.87700002827,72290.12880008668,"[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]","[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,3,3
AR0204SR_n10_high_002,10,high,3415,3415,True,0,481,481,True,63053.783799987286,63422.18229989521,"[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]","[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,3,4
AR0204SR_n20_low_000,20,low,5607,5607,True,0,511,511,True,143547.2407999914,140553.5478000529,"[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]","[7, 15, 13, 9, 3, 2, 1, 19, 17, 12, 10, 4, 6, 16, 11, 0, 5, 8, 14, 18]",True,"On this benchmark, agent_id equals original scenario index; SPF agent_order is compared to SPF+CD original_index_order.",,0,1
