instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_high_000,5,high,cdf_h,"[0, 2, 3, 4, 1]","[0, 2, 3, 4, 1]","[2, 0, 2, 2, 2]",4,4,5,"[2, 0, 2, 2, 2]",True,success,3285.9025000361726,3385.672500007786,6671.575000043958,1263,352,0,,5,5
AR0204SR_n05_high_000,5,high,cdf_l,"[1, 0, 2, 3, 4]","[1, 0, 2, 3, 4]","[2, 0, 2, 2, 2]",4,4,5,"[2, 0, 2, 2, 2]",True,success,3267.4433999927714,3407.923399936408,6675.366799929179,1263,352,0,,5,5
AR0204SR_n05_high_000,5,high,spf_cd,"[0, 2, 1, 3, 4]","[0, 2, 1, 3, 4]","[2, 0, 2, 2, 2]",4,4,5,"[2, 0, 2, 2, 2]",True,success,3284.8527999594808,3376.9509999547154,6661.803799914196,1263,352,0,,5,5
AR0204SR_n05_high_001,5,high,cdf_h,"[4, 1, 3, 2, 0]","[4, 1, 3, 2, 0]","[0, 1, 1, 1, 3]",3,3,5,"[0, 1, 1, 1, 3]",True,success,11773.13280000817,11922.415799926966,23695.548599935137,1664,458,0,,5,5
AR0204SR_n05_high_001,5,high,cdf_l,"[0, 1, 3, 2, 4]","[0, 1, 3, 2, 4]","[0, 1, 1, 1, 3]",3,3,5,"[0, 1, 1, 1, 3]",True,success,11835.50040004775,11808.763000066392,23644.26340011414,1664,458,0,,5,5
AR0204SR_n05_high_001,5,high,spf_cd,"[0, 4, 1, 3, 2]","[0, 4, 1, 3, 2]","[0, 1, 1, 1, 3]",3,3,5,"[0, 1, 1, 1, 3]",True,success,11753.819499979727,11782.101499964483,23535.92099994421,1664,458,0,,5,5
AR0204SR_n05_high_002,5,high,cdf_h,"[0, 1, 4, 3, 2]","[0, 1, 4, 3, 2]","[3, 1, 0, 1, 1]",3,3,5,"[3, 1, 0, 1, 1]",True,success,2646.9808999681845,2734.4272000482306,5381.408100016415,1670,408,0,,5,5
AR0204SR_n05_high_002,5,high,cdf_l,"[2, 1, 4, 3, 0]","[2, 1, 4, 3, 0]","[3, 1, 0, 1, 1]",3,3,5,"[3, 1, 0, 1, 1]",True,success,2643.006700091064,2662.349099991843,5305.355800082907,1668,406,0,,5,5
AR0204SR_n05_high_002,5,high,spf_cd,"[1, 4, 0, 2, 3]","[1, 4, 0, 2, 3]","[3, 1, 0, 1, 1]",3,3,5,"[3, 1, 0, 1, 1]",True,success,2638.2667999714613,2742.283600033261,5380.550400004722,1670,408,0,,5,5
AR0204SR_n05_low_000,5,low,cdf_h,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,7423.808600055054,7323.4197000274435,14747.228300082497,1378,379,0,,5,5
AR0204SR_n05_low_000,5,low,cdf_l,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,7375.451999949291,7330.337999970652,14705.789999919944,1378,379,0,,5,5
AR0204SR_n05_low_000,5,low,spf_cd,"[0, 3, 2, 4, 1]","[0, 3, 2, 4, 1]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,7325.196100049652,7420.994299929589,14746.190399979241,1378,379,0,,5,5
AR0204SR_n05_low_001,5,low,cdf_h,"[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,12747.089800075628,12808.964800089598,25556.054600165226,868,271,0,,5,5
AR0204SR_n05_low_001,5,low,cdf_l,"[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,12819.130699965172,12754.4215999078,25573.552299872972,868,271,0,,5,5
AR0204SR_n05_low_001,5,low,spf_cd,"[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,12545.136700035073,13137.685500085354,25682.822200120427,868,271,0,,5,5
AR0204SR_n05_low_002,5,low,cdf_h,"[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,1984.5635000383481,2004.3073000852019,3988.87080012355,878,320,0,,5,5
AR0204SR_n05_low_002,5,low,cdf_l,"[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,1975.905100000091,1992.7014000713825,3968.6065000714734,878,320,0,,5,5
AR0204SR_n05_low_002,5,low,spf_cd,"[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,1967.8711999440566,1997.2617999883369,3965.1329999323934,878,320,0,,5,5
