instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,catalogue_role,catalogue_seed,pp_low_level_searches,pp_agents_planned
AR0204SR_HO_n05_high_000,5,high,cdf_h,"[0, 3, 2, 1, 4]","[0, 3, 2, 1, 4]","[3, 1, 1, 1, 0]",3,3,5,"[3, 1, 1, 1, 0]",True,success,34068.14819993451,34718.658400001004,68786.80659993552,1540,509,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_000,5,high,cdf_l,"[4, 3, 2, 1, 0]","[4, 3, 2, 1, 0]","[3, 1, 1, 1, 0]",3,3,5,"[3, 1, 1, 1, 0]",True,success,33267.19189994037,33601.02070006542,66868.21260000579,1540,509,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_000,5,high,spf_cd,"[4, 3, 2, 0, 1]","[4, 3, 2, 0, 1]","[3, 1, 1, 1, 0]",3,3,5,"[3, 1, 1, 1, 0]",True,success,32308.97770007141,33834.56850005314,66143.54620012455,1540,509,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_001,5,high,cdf_h,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]","[1, 3, 1, 1, 0]",3,3,5,"[1, 3, 1, 1, 0]",True,success,20378.463299944997,20971.9476000173,41350.4108999623,1699,494,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_001,5,high,cdf_l,"[4, 2, 3, 0, 1]","[4, 2, 3, 0, 1]","[1, 3, 1, 1, 0]",3,3,5,"[1, 3, 1, 1, 0]",True,success,20493.655600002967,20778.117700014263,41271.77330001723,1699,494,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_001,5,high,spf_cd,"[2, 3, 1, 0, 4]","[2, 3, 1, 0, 4]","[1, 3, 1, 1, 0]",3,3,5,"[1, 3, 1, 1, 0]",True,success,20412.411600002088,20948.533299961127,41360.944899963215,1699,494,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_002,5,high,cdf_h,"[1, 3, 0, 2, 4]","[1, 3, 0, 2, 4]","[1, 3, 1, 1, 0]",3,3,5,"[1, 3, 1, 1, 0]",True,success,23462.7931000432,23411.627999972552,46874.42110001575,1842,470,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_002,5,high,cdf_l,"[4, 3, 0, 2, 1]","[4, 3, 0, 2, 1]","[1, 3, 1, 1, 0]",3,3,5,"[1, 3, 1, 1, 0]",True,success,23195.22059999872,23526.475099963136,46721.695699961856,1842,470,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_002,5,high,spf_cd,"[3, 1, 4, 0, 2]","[3, 1, 4, 0, 2]","[1, 3, 1, 1, 0]",3,3,5,"[1, 3, 1, 1, 0]",True,success,23125.935899908654,23434.96280000545,46560.898699914105,1842,470,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_000,5,low,cdf_h,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,2457.0712000131607,2440.152999944985,4897.224199958146,1469,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_000,5,low,cdf_l,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,2404.0072000352666,2437.972899992019,4841.9801000272855,1469,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_000,5,low,spf_cd,"[1, 2, 3, 0, 4]","[1, 2, 3, 0, 4]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,2413.961899932474,2448.707200004719,4862.669099937193,1469,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_001,5,low,cdf_h,"[4, 3, 1, 0, 2]","[4, 3, 1, 0, 2]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,30800.986999995075,31614.983699982986,62415.97069997806,1710,503,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_001,5,low,cdf_l,"[4, 3, 1, 0, 2]","[4, 3, 1, 0, 2]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,30978.578599984758,31585.878699901514,62564.45729988627,1710,503,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_001,5,low,spf_cd,"[4, 3, 1, 0, 2]","[4, 3, 1, 0, 2]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,31124.901699949987,31592.47370006051,62717.3754000105,1710,503,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_002,5,low,cdf_h,"[3, 2, 1, 4, 0]","[3, 2, 1, 4, 0]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,3874.0563000319526,3984.390199999325,7858.4465000312775,1242,363,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_002,5,low,cdf_l,"[3, 2, 1, 4, 0]","[3, 2, 1, 4, 0]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,4153.17689999938,3973.204900044948,8126.381800044328,1242,363,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_002,5,low,spf_cd,"[3, 2, 1, 4, 0]","[3, 2, 1, 4, 0]","[0, 0, 0, 0, 0]",0,0,5,"[0, 0, 0, 0, 0]",True,success,3906.692499993369,3974.578300025314,7881.270800018683,1242,363,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_000,5,medium,cdf_h,"[4, 3, 2, 1, 0]","[4, 3, 2, 1, 0]","[0, 0, 1, 1, 2]",2,2,5,"[0, 0, 1, 1, 2]",True,success,5979.574600001797,6016.362900030799,11995.937500032596,1341,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_000,5,medium,cdf_l,"[1, 0, 3, 2, 4]","[1, 0, 3, 2, 4]","[0, 0, 1, 1, 2]",2,2,5,"[0, 0, 1, 1, 2]",True,success,5992.912900052033,6231.885000015609,12224.797900067642,1343,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_000,5,medium,spf_cd,"[1, 0, 3, 4, 2]","[1, 0, 3, 4, 2]","[0, 0, 1, 1, 2]",2,2,5,"[0, 0, 1, 1, 2]",True,success,5916.446499992162,6165.886100032367,12082.332600024529,1343,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_001,5,medium,cdf_h,"[0, 2, 3, 4, 1]","[0, 2, 3, 4, 1]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,4135.188900050707,4224.950200063176,8360.139100113884,1036,462,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_001,5,medium,cdf_l,"[3, 4, 1, 0, 2]","[3, 4, 1, 0, 2]","[1, 0, 1, 0, 0]",1,1,5,"[1, 0, 1, 0, 0]",True,success,4115.634299931116,4183.6370000382885,8299.271299969405,1036,462,0,,held_out_validation,2027,5,5
