instance_id,agent_count,interaction_level,cbs_soc,cbs_makespan,cbs_runtime_ms,fixed_soc,spf_soc,lpf_soc,random_soc_median,random_sampled_best_of_k_soc,fixed_minus_cbs_soc,spf_minus_cbs_soc,lpf_minus_cbs_soc,random_median_minus_cbs_soc,random_sampled_best_of_k_minus_cbs_soc,reference_note,sampled_best_of_k_note
AR0204SR_n05_low_000,5,low,1378,379,8183.376900036819,1378,1378,1378,1378.0,1378,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_low_001,5,low,868,271,13713.853599969298,868,868,868,868.0,868,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_low_002,5,low,878,320,2259.1850999742746,878,878,878,878.0,878,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_medium_000,5,medium,1299,398,5514.294399996288,1299,1299,1299,1299.0,1299,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_medium_001,5,medium,1291,333,12077.447900082916,1291,1291,1291,1291.0,1291,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_medium_002,5,medium,1396,490,33137.650799937546,1396,1396,1396,1396.0,1396,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_high_000,5,high,1263,352,68633.3081999328,1263,1263,1263,1263.0,1263,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_high_001,5,high,1664,458,36083.17270001862,1664,1664,1664,1664.0,1664,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n05_high_002,5,high,1668,406,7259.114800021052,1670,1670,1668,1670.0,1668,2,2,0,2.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n10_low_000,10,low,2594,495,26133.448100066744,2594,2594,2594,2594.0,2594,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n10_low_001,10,low,2400,455,31536.104399943724,2400,2400,2400,2400.0,2400,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n10_low_002,10,low,1862,343,4240.984599920921,1862,1862,1862,1862.0,1862,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n10_medium_000,10,medium,2797,497,149336.02319995407,2935,2797,2935,2935.0,2797,138,0,138,138.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n10_medium_001,10,medium,2567,505,35394.32070008479,2567,2567,2567,2567.0,2567,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n10_medium_002,10,medium,1960,441,7524.132699938491,1960,1960,1960,1960.0,1960,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n10_high_001,10,high,2962,512,153748.91650001518,3183,2962,3181,2962.0,2962,221,0,219,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n20_low_000,20,low,5607,511,75388.81759997457,5607,5607,5607,5607.0,5607,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n20_low_001,20,low,5969,511,60149.91929999087,5969,5969,5969,5969.0,5969,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n20_low_002,20,low,4726,489,37307.254400104284,4726,4726,4726,4726.0,4726,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n20_medium_000,20,medium,5190,498,85803.08969994076,5192,5192,5190,5192.0,5190,2,2,0,2.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n20_medium_001,20,medium,5428,509,85006.72720000148,5428,5428,5428,5428.0,5428,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
AR0204SR_n20_medium_002,20,medium,5565,471,94622.6284999866,5565,5565,5565,5565.0,5565,0,0,0,0.0,0,"Basic CBS successful runs only; quality reference, not a scalable mandatory baseline",Random minimum is a sampled best-of-K diagnostic only
