strategy,deterministic_soc,random_runs_lower_soc_count,random_runs_equal_soc_count,random_runs_higher_soc_count,deterministic_vs_random_mean_soc_diff,deterministic_vs_random_median_soc_diff,deterministic_vs_random_sampled_best_of_k_soc_diff,instance_id,agent_count,interaction_level,random_soc_mean,random_soc_median,random_sampled_best_of_k_soc,sampled_best_of_k_note
fixed,1378,0,10,0,0,0.0,0,AR0204SR_n05_low_000,5,low,1378,1378.0,1378,sampled best-of-K diagnostic; not the primary Random baseline
spf,1378,0,10,0,0,0.0,0,AR0204SR_n05_low_000,5,low,1378,1378.0,1378,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1378,0,10,0,0,0.0,0,AR0204SR_n05_low_000,5,low,1378,1378.0,1378,sampled best-of-K diagnostic; not the primary Random baseline
fixed,868,0,10,0,0,0.0,0,AR0204SR_n05_low_001,5,low,868,868.0,868,sampled best-of-K diagnostic; not the primary Random baseline
spf,868,0,10,0,0,0.0,0,AR0204SR_n05_low_001,5,low,868,868.0,868,sampled best-of-K diagnostic; not the primary Random baseline
lpf,868,0,10,0,0,0.0,0,AR0204SR_n05_low_001,5,low,868,868.0,868,sampled best-of-K diagnostic; not the primary Random baseline
fixed,878,0,10,0,0,0.0,0,AR0204SR_n05_low_002,5,low,878,878.0,878,sampled best-of-K diagnostic; not the primary Random baseline
spf,878,0,10,0,0,0.0,0,AR0204SR_n05_low_002,5,low,878,878.0,878,sampled best-of-K diagnostic; not the primary Random baseline
lpf,878,0,10,0,0,0.0,0,AR0204SR_n05_low_002,5,low,878,878.0,878,sampled best-of-K diagnostic; not the primary Random baseline
fixed,1299,0,10,0,0,0.0,0,AR0204SR_n05_medium_000,5,medium,1299,1299.0,1299,sampled best-of-K diagnostic; not the primary Random baseline
spf,1299,0,10,0,0,0.0,0,AR0204SR_n05_medium_000,5,medium,1299,1299.0,1299,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1299,0,10,0,0,0.0,0,AR0204SR_n05_medium_000,5,medium,1299,1299.0,1299,sampled best-of-K diagnostic; not the primary Random baseline
fixed,1291,0,10,0,0,0.0,0,AR0204SR_n05_medium_001,5,medium,1291,1291.0,1291,sampled best-of-K diagnostic; not the primary Random baseline
spf,1291,0,10,0,0,0.0,0,AR0204SR_n05_medium_001,5,medium,1291,1291.0,1291,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1291,0,10,0,0,0.0,0,AR0204SR_n05_medium_001,5,medium,1291,1291.0,1291,sampled best-of-K diagnostic; not the primary Random baseline
fixed,1396,0,10,0,0,0.0,0,AR0204SR_n05_medium_002,5,medium,1396,1396.0,1396,sampled best-of-K diagnostic; not the primary Random baseline
spf,1396,0,10,0,0,0.0,0,AR0204SR_n05_medium_002,5,medium,1396,1396.0,1396,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1396,0,10,0,0,0.0,0,AR0204SR_n05_medium_002,5,medium,1396,1396.0,1396,sampled best-of-K diagnostic; not the primary Random baseline
fixed,1263,0,10,0,0,0.0,0,AR0204SR_n05_high_000,5,high,1263,1263.0,1263,sampled best-of-K diagnostic; not the primary Random baseline
spf,1263,0,10,0,0,0.0,0,AR0204SR_n05_high_000,5,high,1263,1263.0,1263,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1263,0,10,0,0,0.0,0,AR0204SR_n05_high_000,5,high,1263,1263.0,1263,sampled best-of-K diagnostic; not the primary Random baseline
fixed,1664,0,10,0,0,0.0,0,AR0204SR_n05_high_001,5,high,1664,1664.0,1664,sampled best-of-K diagnostic; not the primary Random baseline
spf,1664,0,10,0,0,0.0,0,AR0204SR_n05_high_001,5,high,1664,1664.0,1664,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1664,0,10,0,0,0.0,0,AR0204SR_n05_high_001,5,high,1664,1664.0,1664,sampled best-of-K diagnostic; not the primary Random baseline
fixed,1670,4,6,0,0.7999999999999545,0.0,2,AR0204SR_n05_high_002,5,high,1669.2,1670.0,1668,sampled best-of-K diagnostic; not the primary Random baseline
spf,1670,4,6,0,0.7999999999999545,0.0,2,AR0204SR_n05_high_002,5,high,1669.2,1670.0,1668,sampled best-of-K diagnostic; not the primary Random baseline
lpf,1668,0,4,6,-1.2000000000000455,-2.0,0,AR0204SR_n05_high_002,5,high,1669.2,1670.0,1668,sampled best-of-K diagnostic; not the primary Random baseline
