instance_id,agent_count,interaction_level,fixed_success,fixed_soc,fixed_makespan,fixed_runtime_ms,spf_success,spf_soc,spf_makespan,spf_agent_order,spf_ordering_time_ms,spf_pp_time_ms,spf_total_time_ms,lpf_success,lpf_soc,lpf_makespan,lpf_agent_order,lpf_ordering_time_ms,lpf_pp_time_ms,lpf_total_time_ms,random_success_rate,random_success_count,random_ordering_count,random_soc_mean,random_soc_median,random_soc_min,random_soc_max,random_soc_range,random_unique_soc_count,random_makespan_mean,random_makespan_median,random_makespan_min,random_makespan_max,random_makespan_range,random_runtime_mean_ms,random_runtime_median_ms,random_sampled_best_of_k_soc,observed_priority_sensitive
AR0204SR_n05_low_000,5,low,True,1378,379,7469.531900016591,True,1378,379,"[0, 3, 2, 4, 1]",7303.966399980709,7330.851800041273,14634.818200021982,True,1378,379,"[1, 4, 2, 3, 0]",7319.010899984278,7410.640500020236,14729.651400004514,1.0,10,10,1378,1378.0,1378,1378,0,1,379,379.0,379,379,0,7517.932539992034,7519.3327000015415,1378,False
AR0204SR_n05_low_001,5,low,True,868,271,12734.636100009084,True,868,271,"[0, 1, 3, 4, 2]",12692.118200007826,12630.344000062905,25322.46220007073,True,868,271,"[2, 4, 3, 1, 0]",12987.744199926965,12709.496300085448,25697.240500012413,1.0,10,10,868,868.0,868,868,0,1,271,271.0,271,271,0,12983.129809983075,12962.769699981436,868,False
AR0204SR_n05_low_002,5,low,True,878,320,1967.8667000262067,True,878,320,"[0, 3, 2, 1, 4]",1960.3155000368133,2054.3322999728844,4014.6478000096977,True,878,320,"[4, 1, 2, 3, 0]",2021.2365000043064,2026.1042000493035,4047.34070005361,1.0,10,10,878,878.0,878,878,0,1,320,320.0,320,320,0,2037.4071499682032,2039.425549970474,878,False
AR0204SR_n05_medium_000,5,medium,True,1299,398,3623.2721999986097,True,1299,398,"[1, 2, 3, 0, 4]",3634.6948000136763,3714.740200084634,7349.43500009831,True,1299,398,"[4, 0, 3, 2, 1]",3898.7625000299886,3735.389499925077,7634.151999955066,1.0,10,10,1299,1299.0,1299,1299,0,1,398,398.0,398,398,0,3700.047339987941,3694.188449997455,1299,False
AR0204SR_n05_medium_001,5,medium,True,1291,333,9038.989500026219,True,1291,333,"[0, 3, 2, 4, 1]",9219.4610000588,9158.427099930122,18377.888099988922,True,1291,333,"[1, 4, 2, 3, 0]",9272.59479998611,9204.19319998473,18476.78799997084,1.0,10,10,1291,1291.0,1291,1291,0,1,333,333.0,333,333,0,9248.22760001989,9248.298550024629,1291,False
AR0204SR_n05_medium_002,5,medium,True,1396,490,26427.554800058715,True,1396,490,"[3, 0, 4, 2, 1]",27041.847799904644,27391.17910002824,54433.026899932884,True,1396,490,"[1, 2, 4, 0, 3]",27356.941600097343,26562.884499900974,53919.82609999832,1.0,10,10,1396,1396.0,1396,1396,0,1,490,490.0,490,490,0,27371.72621001955,27326.829349971376,1396,False
AR0204SR_n05_high_000,5,high,True,1263,352,3390.0647999253124,True,1263,352,"[0, 2, 1, 3, 4]",3248.905000044033,3520.144199952483,6769.049199996516,True,1263,352,"[4, 3, 1, 2, 0]",3262.777400086634,3314.004399930127,6576.781800016761,1.0,10,10,1263,1263.0,1263,1263,0,1,352,352.0,352,352,0,3435.079520032741,3432.877000013832,1263,False
AR0204SR_n05_high_001,5,high,True,1664,458,11794.2395999562,True,1664,458,"[0, 4, 1, 3, 2]",11876.041100011207,12164.219700032845,24040.260800044052,True,1664,458,"[2, 1, 3, 4, 0]",11957.194199902005,12055.363800027408,24012.557999929413,1.0,10,10,1664,1664.0,1664,1664,0,1,458,458.0,458,458,0,12343.540430022404,12188.530000043102,1664,False
AR0204SR_n05_high_002,5,high,True,1670,408,2739.340399974026,True,1670,408,"[1, 4, 0, 2, 3]",2642.243399983272,2841.5720999473706,5483.8154999306425,True,1668,406,"[3, 2, 0, 4, 1]",2708.7337999837473,2682.252199971117,5390.985999954864,1.0,10,10,1669.2,1670.0,1668,1670,2,2,407.2,408.0,406,408,2,2817.916109994985,2827.9319000430405,1668,True
AR0204SR_n10_low_000,10,low,True,2594,495,24448.37150000967,True,2594,495,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]",24172.101699979976,24575.602099997923,48747.7037999779,True,2594,495,"[1, 9, 5, 2, 4, 7, 0, 8, 6, 3]",25584.846000070684,25485.7803999912,51070.62640006188,1.0,10,10,2594,2594.0,2594,2594,0,1,495,495.0,495,495,0,25197.08806000417,25110.798149951734,2594,False
AR0204SR_n10_low_001,10,low,True,2400,455,30351.559299975634,True,2400,455,"[2, 7, 3, 0, 8, 9, 6, 5, 4, 1]",29473.06520002894,29881.31299999077,59354.37820001971,True,2400,455,"[1, 4, 5, 6, 9, 8, 0, 3, 7, 2]",30235.332499956712,30571.46530004684,60806.79780000355,1.0,10,10,2400,2400.0,2400,2400,0,1,455,455.0,455,455,0,30641.042160021607,30308.521950035356,2400,False
