instance_id,agent_count,interaction_level,observed_priority_sensitive,random_unique_soc_count,random_soc_range,random_soc_min,random_soc_max,random_soc_median,random_makespan_range,spf_differs_from_fixed,lpf_differs_from_fixed,spf_differs_from_lpf,soc_changes_but_makespan_constant
AR0204SR_n05_low_000,5,low,False,1,0,1378,1378,1378.0,0,False,False,False,False
AR0204SR_n05_low_001,5,low,False,1,0,868,868,868.0,0,False,False,False,False
AR0204SR_n05_low_002,5,low,False,1,0,878,878,878.0,0,False,False,False,False
AR0204SR_n05_medium_000,5,medium,False,1,0,1299,1299,1299.0,0,False,False,False,False
AR0204SR_n05_medium_001,5,medium,False,1,0,1291,1291,1291.0,0,False,False,False,False
AR0204SR_n05_medium_002,5,medium,False,1,0,1396,1396,1396.0,0,False,False,False,False
AR0204SR_n05_high_000,5,high,False,1,0,1263,1263,1263.0,0,False,False,False,False
AR0204SR_n05_high_001,5,high,False,1,0,1664,1664,1664.0,0,False,False,False,False
AR0204SR_n05_high_002,5,high,True,2,2,1668,1670,1670.0,2,False,True,True,False
AR0204SR_n10_low_000,10,low,False,1,0,2594,2594,2594.0,0,False,False,False,False
AR0204SR_n10_low_001,10,low,False,1,0,2400,2400,2400.0,0,False,False,False,False
AR0204SR_n10_low_002,10,low,False,1,0,1862,1862,1862.0,0,False,False,False,False
AR0204SR_n10_medium_000,10,medium,True,2,138,2797,2935,2935.0,0,True,False,True,True
AR0204SR_n10_medium_001,10,medium,False,1,0,2567,2567,2567.0,0,False,False,False,False
AR0204SR_n10_medium_002,10,medium,False,1,0,1960,1960,1960.0,0,False,False,False,False
AR0204SR_n10_high_000,10,high,True,7,79,2485,2564,2493.0,0,True,True,True,True
AR0204SR_n10_high_001,10,high,True,3,221,2962,3183,2962.0,0,True,True,True,True
AR0204SR_n10_high_002,10,high,True,2,43,3415,3458,3415.0,0,False,True,True,True
AR0204SR_n20_low_000,20,low,False,1,0,5607,5607,5607.0,0,False,False,False,False
AR0204SR_n20_low_001,20,low,False,1,0,5969,5969,5969.0,0,False,False,False,False
AR0204SR_n20_low_002,20,low,False,1,0,4726,4726,4726.0,0,False,False,False,False
AR0204SR_n20_medium_000,20,medium,True,2,2,5190,5192,5192.0,0,False,True,True,True
AR0204SR_n20_medium_001,20,medium,False,1,0,5428,5428,5428.0,0,False,False,False,False
AR0204SR_n20_medium_002,20,medium,False,1,0,5565,5565,5565.0,0,False,False,False,False
AR0204SR_n20_high_000,20,high,False,1,0,4918,4918,4918.0,0,False,False,False,False
AR0204SR_n20_high_001,20,high,True,4,719,4742,5461,5461.0,0,True,False,True,True
AR0204SR_n20_high_002,20,high,False,1,0,4829,4829,4829.0,0,False,False,False,False
