instance_id,agent_count,interaction_level,strategy,agent_order,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_high_000,5,high,spf,"[0, 2, 1, 3, 4]",True,success,3248.905000044033,3520.144199952483,6769.049199996516,1263,352,0,,5,5
AR0204SR_n05_high_000,5,high,lpf,"[4, 3, 1, 2, 0]",True,success,3262.777400086634,3314.004399930127,6576.781800016761,1263,352,0,,5,5
AR0204SR_n05_high_001,5,high,spf,"[0, 4, 1, 3, 2]",True,success,11876.041100011207,12164.219700032845,24040.260800044052,1664,458,0,,5,5
AR0204SR_n05_high_001,5,high,lpf,"[2, 1, 3, 4, 0]",True,success,11957.194199902005,12055.363800027408,24012.557999929413,1664,458,0,,5,5
AR0204SR_n05_high_002,5,high,spf,"[1, 4, 0, 2, 3]",True,success,2642.243399983272,2841.5720999473706,5483.8154999306425,1670,408,0,,5,5
AR0204SR_n05_high_002,5,high,lpf,"[3, 2, 0, 4, 1]",True,success,2708.7337999837473,2682.252199971117,5390.985999954864,1668,406,0,,5,5
AR0204SR_n05_low_000,5,low,spf,"[0, 3, 2, 4, 1]",True,success,7303.966399980709,7330.851800041273,14634.818200021982,1378,379,0,,5,5
AR0204SR_n05_low_000,5,low,lpf,"[1, 4, 2, 3, 0]",True,success,7319.010899984278,7410.640500020236,14729.651400004514,1378,379,0,,5,5
AR0204SR_n05_low_001,5,low,spf,"[0, 1, 3, 4, 2]",True,success,12692.118200007826,12630.344000062905,25322.46220007073,868,271,0,,5,5
AR0204SR_n05_low_001,5,low,lpf,"[2, 4, 3, 1, 0]",True,success,12987.744199926965,12709.496300085448,25697.240500012413,868,271,0,,5,5
AR0204SR_n05_low_002,5,low,spf,"[0, 3, 2, 1, 4]",True,success,1960.3155000368133,2054.3322999728844,4014.6478000096977,878,320,0,,5,5
AR0204SR_n05_low_002,5,low,lpf,"[4, 1, 2, 3, 0]",True,success,2021.2365000043064,2026.1042000493035,4047.34070005361,878,320,0,,5,5
AR0204SR_n05_medium_000,5,medium,spf,"[1, 2, 3, 0, 4]",True,success,3634.6948000136763,3714.740200084634,7349.43500009831,1299,398,0,,5,5
AR0204SR_n05_medium_000,5,medium,lpf,"[4, 0, 3, 2, 1]",True,success,3898.7625000299886,3735.389499925077,7634.151999955066,1299,398,0,,5,5
AR0204SR_n05_medium_001,5,medium,spf,"[0, 3, 2, 4, 1]",True,success,9219.4610000588,9158.427099930122,18377.888099988922,1291,333,0,,5,5
AR0204SR_n05_medium_001,5,medium,lpf,"[1, 4, 2, 3, 0]",True,success,9272.59479998611,9204.19319998473,18476.78799997084,1291,333,0,,5,5
AR0204SR_n05_medium_002,5,medium,spf,"[3, 0, 4, 2, 1]",True,success,27041.847799904644,27391.17910002824,54433.026899932884,1396,490,0,,5,5
AR0204SR_n05_medium_002,5,medium,lpf,"[1, 2, 4, 0, 3]",True,success,27356.941600097343,26562.884499900974,53919.82609999832,1396,490,0,,5,5
AR0204SR_n10_high_000,10,high,spf,"[9, 0, 8, 4, 6, 3, 1, 5, 2, 7]",True,success,17351.69479995966,17700.644799973816,35052.339599933475,2487,511,0,,10,10
AR0204SR_n10_high_000,10,high,lpf,"[7, 2, 5, 1, 3, 6, 4, 8, 0, 9]",True,success,17412.745199981146,23973.05570007302,41385.800900054164,2564,511,0,,10,10
AR0204SR_n10_high_001,10,high,spf,"[9, 5, 0, 1, 2, 8, 6, 4, 7, 3]",True,success,35232.65709995758,36003.21990007069,71235.87700002827,2962,512,0,,10,10
AR0204SR_n10_high_001,10,high,lpf,"[3, 7, 4, 6, 8, 2, 1, 0, 5, 9]",True,success,35227.07519994583,56230.10210006032,91457.17730000615,3181,512,0,,10,10
AR0204SR_n10_high_002,10,high,spf,"[1, 2, 9, 7, 8, 6, 4, 0, 5, 3]",True,success,31247.58570000995,31806.198099977337,63053.783799987286,3415,481,0,,10,10
AR0204SR_n10_high_002,10,high,lpf,"[3, 5, 0, 4, 6, 8, 7, 9, 2, 1]",True,success,31470.979399979115,33912.31139993761,65383.29079991672,3458,481,0,,10,10
AR0204SR_n10_low_000,10,low,spf,"[3, 6, 8, 0, 7, 4, 2, 5, 9, 1]",True,success,24172.101699979976,24575.602099997923,48747.7037999779,2594,495,0,,10,10
