instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_high_000,5,high,10,1014957376496550380,"[3, 4, 0, 2, 1]",2026,True,success,3360.8409999869764,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,11,2380256337171604566,"[3, 4, 2, 0, 1]",2026,True,success,3334.093499928713,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,12,5886043897093981619,"[4, 3, 2, 0, 1]",2026,True,success,3482.5807000743225,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,13,1041322934728730409,"[3, 1, 0, 4, 2]",2026,True,success,3392.981300014071,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,14,7834482516429629900,"[4, 0, 2, 1, 3]",2026,True,success,3428.169299964793,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,15,1633810962847675837,"[3, 0, 4, 1, 2]",2026,True,success,3349.0554000018165,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,16,2912958878533937436,"[2, 3, 0, 1, 4]",2026,True,success,3516.1604000022635,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,17,5515322388732444263,"[3, 1, 4, 2, 0]",2026,True,success,3453.2032000133768,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,18,5672226838192064661,"[1, 0, 4, 2, 3]",2026,True,success,3434.1326999710873,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,19,782335182926437059,"[1, 0, 2, 4, 3]",2026,True,success,3446.722300024703,1263,352,0,5,5
AR0204SR_n05_high_001,5,high,10,4595965305183278890,"[0, 4, 3, 2, 1]",2026,True,success,12126.066999975592,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,11,43850209250656099,"[1, 3, 2, 0, 4]",2026,True,success,12049.69179991167,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,12,547715268048746184,"[4, 0, 1, 2, 3]",2026,True,success,12226.027700002305,1664,458,0,5,5
