instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n05_high_000,5,high,0,6592750593812158745,"[2, 1, 4, 3, 0]",2026,True,success,3448.291499982588,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,1,5166260277518696021,"[4, 2, 0, 3, 1]",2026,True,success,3424.620999954641,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,2,820752908039190804,"[2, 4, 0, 1, 3]",2026,True,success,3558.284900034778,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,3,9064567238751202078,"[2, 0, 1, 4, 3]",2026,True,success,3444.890800048597,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,4,6176587948304255149,"[3, 4, 1, 2, 0]",2026,True,success,3361.9149000151083,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,5,5698419546082830984,"[0, 1, 3, 4, 2]",2026,True,success,3377.0596000831574,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,6,7423969470326417708,"[4, 2, 0, 1, 3]",2026,True,success,3547.49999998603,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,7,6116383883742875649,"[1, 4, 2, 3, 0]",2026,True,success,3441.133000073023,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,8,6795167421684340377,"[1, 3, 4, 2, 0]",2026,True,success,3351.0063000721857,1263,352,0,5,5
AR0204SR_n05_high_000,5,high,9,874358440445082218,"[0, 2, 3, 1, 4]",2026,True,success,3396.0932000773028,1263,352,0,5,5
AR0204SR_n05_high_001,5,high,0,3212126843172150665,"[2, 3, 0, 4, 1]",2026,True,success,12149.699000059627,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,1,6083526165656575675,"[0, 1, 3, 4, 2]",2026,True,success,12090.827300096862,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,2,8150574188957916288,"[3, 2, 0, 1, 4]",2026,True,success,12071.95810007397,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,3,4150111773718333160,"[3, 4, 1, 0, 2]",2026,True,success,11934.123700018972,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,4,5962269422452983820,"[2, 4, 1, 0, 3]",2026,True,success,12141.431100084446,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,5,8273733450880568164,"[0, 2, 3, 1, 4]",2026,True,success,13156.616799999028,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,6,8302007520677089907,"[2, 3, 1, 4, 0]",2026,True,success,12928.87659999542,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,7,7068254070244641421,"[1, 0, 2, 3, 4]",2026,True,success,12227.361000026576,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,8,3865621177576936111,"[0, 2, 3, 4, 1]",2026,True,success,12290.99069989752,1664,458,0,5,5
AR0204SR_n05_high_001,5,high,9,5163839103619324805,"[3, 0, 1, 2, 4]",2026,True,success,12443.519999971613,1664,458,0,5,5
AR0204SR_n05_high_002,5,high,0,9011156582013046760,"[2, 3, 1, 0, 4]",2026,True,success,2731.4982999814674,1668,406,0,5,5
AR0204SR_n05_high_002,5,high,1,4808291829778669978,"[2, 4, 1, 0, 3]",2026,True,success,2821.578900096938,1670,408,0,5,5
AR0204SR_n05_high_002,5,high,2,1382098905305156632,"[2, 1, 4, 3, 0]",2026,True,success,2847.0915000652894,1668,406,0,5,5
AR0204SR_n05_high_002,5,high,3,8903180836318589772,"[1, 4, 2, 3, 0]",2026,True,success,2726.9100999692455,1668,406,0,5,5
AR0204SR_n05_high_002,5,high,4,4442548489099844811,"[2, 0, 1, 3, 4]",2026,True,success,2834.284899989143,1670,408,0,5,5
AR0204SR_n05_high_002,5,high,5,2621859092489941791,"[0, 3, 4, 2, 1]",2026,True,success,2817.203399958089,1670,408,0,5,5
AR0204SR_n05_high_002,5,high,6,5448302298914672363,"[1, 4, 0, 3, 2]",2026,True,success,2865.583600010723,1670,408,0,5,5
AR0204SR_n05_high_002,5,high,7,4896397576043233179,"[0, 1, 3, 4, 2]",2026,True,success,2872.592799947597,1670,408,0,5,5
AR0204SR_n05_high_002,5,high,8,3698705063315205662,"[0, 3, 2, 4, 1]",2026,True,success,2935.3153000120074,1670,408,0,5,5
AR0204SR_n05_high_002,5,high,9,1782511031994161215,"[2, 3, 1, 4, 0]",2026,True,success,2727.102299919352,1668,406,0,5,5
AR0204SR_n05_low_000,5,low,0,1132531363946631429,"[1, 2, 0, 3, 4]",2026,True,success,7536.322999978438,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,1,2679100963594668961,"[1, 0, 2, 4, 3]",2026,True,success,7532.554899924435,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,2,2607909299313073575,"[1, 3, 2, 0, 4]",2026,True,success,7511.798599967733,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,3,3660511230128493006,"[4, 1, 3, 0, 2]",2026,True,success,7526.86680003535,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,4,5327203078189302198,"[1, 0, 3, 2, 4]",2026,True,success,7497.256500064395,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,5,3627454517153715832,"[0, 2, 3, 4, 1]",2026,True,success,7508.887300034985,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,6,149671483574370021,"[0, 3, 2, 4, 1]",2026,True,success,7494.083800003864,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,7,3059064083126699929,"[0, 4, 3, 1, 2]",2026,True,success,7536.339599988423,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,8,5509957855994173855,"[0, 2, 1, 4, 3]",2026,True,success,7526.891399989836,1378,379,0,5,5
AR0204SR_n05_low_000,5,low,9,2451139856524508762,"[2, 1, 3, 4, 0]",2026,True,success,7508.323499932885,1378,379,0,5,5
AR0204SR_n05_low_001,5,low,0,4215150692890604707,"[0, 1, 3, 2, 4]",2026,True,success,12945.423399913125,868,271,0,5,5
AR0204SR_n05_low_001,5,low,1,2404775509822022780,"[4, 0, 1, 3, 2]",2026,True,success,12967.850800021552,868,271,0,5,5
AR0204SR_n05_low_001,5,low,2,839533833057681458,"[2, 0, 4, 3, 1]",2026,True,success,12875.588699942455,868,271,0,5,5
AR0204SR_n05_low_001,5,low,3,4186751802603552083,"[4, 2, 1, 3, 0]",2026,True,success,12962.853800039738,868,271,0,5,5
AR0204SR_n05_low_001,5,low,4,4276850454561818605,"[1, 3, 4, 0, 2]",2026,True,success,13159.559200052172,868,271,0,5,5
AR0204SR_n05_low_001,5,low,5,6437026880248213121,"[1, 2, 0, 3, 4]",2026,True,success,12962.685599923134,868,271,0,5,5
AR0204SR_n05_low_001,5,low,6,8326253729775791456,"[0, 4, 3, 2, 1]",2026,True,success,12936.229499988258,868,271,0,5,5
AR0204SR_n05_low_001,5,low,7,2294150056590610180,"[2, 0, 4, 1, 3]",2026,True,success,13095.584299997427,868,271,0,5,5
AR0204SR_n05_low_001,5,low,8,7927618727732274234,"[0, 1, 2, 4, 3]",2026,True,success,13041.204999899492,868,271,0,5,5
AR0204SR_n05_low_001,5,low,9,5158469698956464832,"[2, 0, 3, 1, 4]",2026,True,success,12884.317800053395,868,271,0,5,5
AR0204SR_n05_low_002,5,low,0,767828636922487025,"[4, 0, 2, 1, 3]",2026,True,success,2024.5988999959081,878,320,0,5,5
AR0204SR_n05_low_002,5,low,1,5316126206419160573,"[4, 3, 0, 2, 1]",2026,True,success,2040.099799982272,878,320,0,5,5
AR0204SR_n05_low_002,5,low,2,784258625592214271,"[3, 1, 0, 4, 2]",2026,True,success,2055.529300007038,878,320,0,5,5
AR0204SR_n05_low_002,5,low,3,4010211933630893374,"[2, 1, 0, 3, 4]",2026,True,success,2043.3268999913707,878,320,0,5,5
AR0204SR_n05_low_002,5,low,4,267594706466875547,"[2, 1, 3, 0, 4]",2026,True,success,2043.2693999027833,878,320,0,5,5
AR0204SR_n05_low_002,5,low,5,3553411932905398659,"[2, 4, 3, 1, 0]",2026,True,success,2036.5949999541044,878,320,0,5,5
AR0204SR_n05_low_002,5,low,6,487380537052947774,"[1, 2, 3, 0, 4]",2026,True,success,2038.751299958676,878,320,0,5,5
AR0204SR_n05_low_002,5,low,7,4312733164384323758,"[0, 2, 4, 1, 3]",2026,True,success,2022.02929998748,878,320,0,5,5
AR0204SR_n05_low_002,5,low,8,5011599119208779042,"[1, 4, 3, 0, 2]",2026,True,success,2029.0608999785036,878,320,0,5,5
AR0204SR_n05_low_002,5,low,9,8730555047327470697,"[3, 0, 2, 4, 1]",2026,True,success,2040.8106999238953,878,320,0,5,5
AR0204SR_n05_medium_000,5,medium,0,7565133275889411431,"[1, 4, 3, 2, 0]",2026,True,success,3694.5041000144556,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,1,5252745290928760071,"[4, 1, 0, 2, 3]",2026,True,success,3716.0515999421477,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,2,357517596129795512,"[4, 2, 1, 0, 3]",2026,True,success,3703.5436000442132,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,3,1200023319688261262,"[0, 4, 1, 2, 3]",2026,True,success,3715.86760005448,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,4,781043131028153780,"[0, 3, 4, 2, 1]",2026,True,success,3727.294099982828,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,5,1135178437234114966,"[4, 1, 2, 0, 3]",2026,True,success,3682.3260000674054,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,6,2285082079973335642,"[0, 2, 3, 4, 1]",2026,True,success,3693.558899918571,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,7,50620856697471971,"[2, 4, 1, 0, 3]",2026,True,success,3691.54739996884,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,8,3932184729019205684,"[4, 2, 1, 3, 0]",2026,True,success,3681.9072999060154,1299,398,0,5,5
AR0204SR_n05_medium_000,5,medium,9,5737940366043084179,"[4, 2, 0, 1, 3]",2026,True,success,3693.872799980454,1299,398,0,5,5
AR0204SR_n05_medium_001,5,medium,0,2167407078415561717,"[0, 3, 2, 1, 4]",2026,True,success,9263.216500054114,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,1,1393330978541522288,"[1, 2, 4, 0, 3]",2026,True,success,9204.310900066048,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,2,3524742052754149521,"[0, 1, 2, 4, 3]",2026,True,success,9233.380599995144,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,3,3397010806482081681,"[0, 2, 4, 3, 1]",2026,True,success,9316.335699986666,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,4,1432188511358020874,"[2, 0, 4, 3, 1]",2026,True,success,9301.169999991544,1291,333,0,5,5
AR0204SR_n05_medium_001,5,medium,5,5920650624895643230,"[1, 3, 0, 2, 4]",2026,True,success,9195.134400040843,1291,333,0,5,5
