instance_id,agent_count,interaction_level,strategy,agent_order,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,error_message,catalogue_role,catalogue_seed,pp_low_level_searches,pp_agents_planned
AR0204SR_HO_n05_high_000,5,high,spf,"[4, 3, 2, 0, 1]",True,success,31318.345100036822,31800.2642999636,63118.60940000042,1540,509,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_001,5,high,spf,"[2, 3, 1, 0, 4]",True,success,19427.87070001941,19669.388000038452,39097.258700057864,1699,494,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_high_002,5,high,spf,"[3, 1, 4, 0, 2]",True,success,22168.374400003813,22326.25070004724,44494.62510005105,1842,470,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_000,5,low,spf,"[1, 2, 3, 0, 4]",True,success,2335.3993999771774,2313.8220999389887,4649.221499916166,1469,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_001,5,low,spf,"[4, 3, 1, 0, 2]",True,success,28885.277200024575,29102.297200006433,57987.57440003101,1710,503,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_low_002,5,low,spf,"[3, 2, 1, 4, 0]",True,success,3658.151700044982,3689.2727999947965,7347.424500039779,1242,363,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_000,5,medium,spf,"[1, 0, 3, 4, 2]",True,success,5515.3259000508115,5737.096600001678,11252.42250005249,1343,393,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_001,5,medium,spf,"[3, 0, 4, 1, 2]",True,success,3868.47410001792,3880.25279995054,7748.72689996846,1036,462,0,,held_out_validation,2027,5,5
AR0204SR_HO_n05_medium_002,5,medium,spf,"[4, 3, 0, 1, 2]",True,success,10023.45099998638,10365.91029993724,20389.36129992362,1579,415,0,,held_out_validation,2027,5,5
AR0204SR_HO_n10_high_000,10,high,spf,"[0, 2, 4, 6, 7, 1, 8, 9, 5, 3]",True,success,13286.931200069375,13667.159499949776,26954.09070001915,2522,494,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_001,10,high,spf,"[8, 0, 2, 3, 6, 1, 7, 5, 4, 9]",True,success,39658.39150000829,40350.15299997758,80008.54449998587,2898,471,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_high_002,10,high,spf,"[9, 4, 1, 2, 3, 8, 0, 6, 5, 7]",True,success,21667.916300008073,21881.025600014254,43548.94190002233,3249,409,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_000,10,low,spf,"[5, 9, 0, 6, 7, 2, 3, 4, 1, 8]",True,success,41488.90560003929,41112.714499933645,82601.62009997293,2810,486,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_001,10,low,spf,"[5, 7, 4, 9, 2, 8, 0, 1, 6, 3]",True,success,23925.794899929315,24415.403500082903,48341.19840001222,3330,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_low_002,10,low,spf,"[2, 0, 3, 5, 1, 4, 9, 6, 7, 8]",True,success,27364.589700009674,27849.30370002985,55213.893400039524,2831,471,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_000,10,medium,spf,"[3, 1, 5, 7, 8, 6, 9, 4, 2, 0]",True,success,80314.46019990835,81130.35130000208,161444.81149991043,2925,509,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_001,10,medium,spf,"[8, 4, 5, 9, 6, 2, 0, 7, 3, 1]",True,success,17150.39980004076,17312.21070000902,34462.61050004978,2546,496,0,,held_out_validation,2027,10,10
AR0204SR_HO_n10_medium_002,10,medium,spf,"[7, 0, 2, 9, 3, 6, 5, 8, 4, 1]",True,success,17862.35009995289,17937.6568000298,35800.00689998269,3044,462,0,,held_out_validation,2027,10,10
AR0204SR_HO_n20_high_000,20,high,spf,"[11, 5, 19, 12, 3, 16, 1, 13, 4, 6, 7, 17, 2, 0, 8, 18, 15, 9, 10, 14]",True,success,58743.54639998637,59233.20229991805,117976.74869990442,4784,469,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_high_001,20,high,spf,"[3, 5, 19, 12, 18, 6, 4, 15, 11, 13, 9, 14, 16, 1, 2, 10, 8, 7, 0, 17]",True,success,47359.000500058755,48217.99540007487,95576.99590013362,5078,501,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_high_002,20,high,spf,"[15, 19, 7, 18, 3, 14, 2, 0, 8, 16, 9, 11, 6, 10, 4, 12, 17, 5, 1, 13]",True,success,42215.91270004865,42766.75690000411,84982.66960005276,4865,496,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_low_000,20,low,spf,"[17, 19, 14, 16, 5, 10, 9, 1, 15, 18, 6, 0, 12, 7, 4, 3, 8, 11, 2, 13]",True,success,89467.86030009389,90905.460900045,180373.3212001389,6225,504,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_low_001,20,low,spf,"[8, 2, 3, 11, 16, 4, 5, 18, 7, 6, 15, 12, 0, 1, 9, 10, 19, 17, 13, 14]",True,success,56233.73980005272,57221.604499965906,113455.34430001862,4901,494,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_low_002,20,low,spf,"[16, 14, 10, 8, 13, 6, 17, 0, 11, 2, 19, 1, 18, 12, 9, 4, 3, 15, 5, 7]",True,success,44392.00670004357,44779.669699957594,89171.67640000116,5936,505,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_medium_000,20,medium,spf,"[19, 15, 14, 11, 13, 7, 8, 10, 3, 6, 18, 1, 5, 9, 2, 0, 4, 16, 17, 12]",True,success,73792.29999997187,74621.37790000997,148413.67789998185,5107,503,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_medium_001,20,medium,spf,"[12, 0, 14, 7, 15, 6, 2, 10, 19, 16, 13, 4, 5, 1, 3, 17, 8, 11, 9, 18]",True,success,44813.29129997175,45211.13319997676,90024.42449994851,4591,509,0,,held_out_validation,2027,20,20
AR0204SR_HO_n20_medium_002,20,medium,spf,"[19, 16, 0, 5, 8, 18, 15, 7, 1, 3, 6, 10, 14, 9, 11, 13, 12, 4, 17, 2]",True,success,46002.658499986865,46356.92960000597,92359.58809999283,4824,490,0,,held_out_validation,2027,20,20
